seed,episode,total_steps,reward,nominal_error_avg,residual_error_avg,dhat_norm_avg,uncertainty_avg,res_net_loss,rbf_loss,td_loss_avg,episode_length,expl_noise,buffer_uncert_avg,sampled_uncert_avg,rollout_uncert_avg
2,1,99,-119.88262195140123,1.3649126179892608,1.3912044224714992,1.1726767657080082,1.3312188286070872,nan,nan,nan,99,0.1,nan,nan,nan
2,2,215,-119.12966089241672,1.5124786270075832,1.5353319029612789,1.2239325792239657,1.386226814625592,nan,nan,nan,116,0.1,nan,nan,nan
2,3,282,-99.80216251779348,1.5854171192023292,1.6012461732572585,1.2468445901550465,1.403043369748699,nan,nan,nan,67,0.1,nan,nan,nan
2,4,383,-102.7422237994615,1.7598199372244354,1.777743660577453,1.4783138647527978,1.662617329913791,nan,nan,nan,101,0.1,nan,nan,nan
2,5,501,-120.45313997939229,1.5228506705518496,1.5378034568186534,1.2542937606951947,1.4112186977418804,nan,nan,nan,118,0.1,nan,nan,nan
2,6,2101,-89.93874243821483,1.6644591367198154,1.682913453662768,1.3446329014003278,1.5156247286219149,nan,nan,nan,1600,0.1,nan,nan,nan
2,7,2159,-110.51566047500819,2.0201656335386735,2.0309953008746278,1.721888886957333,1.9269802213228981,nan,nan,nan,58,0.1,nan,nan,nan
2,8,3759,-84.64958007377572,1.6587295877397992,1.6763339934498072,1.333568426843267,1.5026106716692447,nan,nan,nan,1600,0.1,nan,nan,nan
2,9,3829,-105.83120882092044,1.4207923237766538,1.4363705626555852,1.1389049029776028,1.2863062965018408,nan,nan,nan,70,0.1,nan,nan,nan
2,10,5429,-77.14750718744472,1.5722360218755784,1.5898146992363036,1.25394138130825,1.4149569408223033,nan,nan,nan,1600,0.1,nan,nan,nan
2,11,5510,-104.27655364666134,1.8096749387037607,1.8220313434247617,1.5090490780126902,1.6928264276113039,nan,nan,nan,81,0.1,nan,nan,nan
2,12,5583,-97.20825055916794,1.7239162142146123,1.7394245834383246,1.4121659313366837,1.587755122821625,nan,nan,nan,73,0.1,nan,nan,nan
2,13,5671,-101.63625231012702,1.4652304976162585,1.4891006993976506,1.1647426846056161,1.3248503550209783,nan,nan,nan,88,0.1,nan,nan,nan
2,14,5752,-98.59808729740325,1.627791710657838,1.643686576757902,1.299163606385758,1.4678192175464866,nan,nan,nan,81,0.1,nan,nan,nan
2,15,7352,-80.5793996527791,1.6115556224767351,1.6289300988707691,1.2930350835924036,1.4581167976837606,nan,nan,nan,1600,0.1,nan,nan,nan
2,16,8952,-87.65587797772605,1.65817857554066,1.677011678488925,1.332613324795384,1.5028261404763907,nan,nan,nan,1600,0.1,nan,nan,nan
2,17,9026,-101.57614099700004,1.6858608545483769,1.7074832807521563,1.38435713252103,1.5631232181110897,nan,nan,nan,74,0.1,nan,nan,nan
2,18,10199,-162.88097620173357,1.3672522604394028,1.4032204735131724,1.0638116804449378,1.22298535683652,nan,nan,10.693376034526155,1173,0.1,nan,nan,nan
2,19,10240,-122.36111135780811,0.6326905405376015,0.7433784985687675,0.49911051661503025,0.6824404331969052,0.3997009350703313,0.2687126722855446,6.807193512597587,41,0.1,1.450358510017395,1.8404116899539262,3.422078245773896e-11
2,20,10281,-122.8005168735981,0.6747789561021619,0.8546196927384633,0.5617429712196675,0.8004489824539278,0.17212069187313317,0.13195908673107623,8.70582233457244,41,0.1,1.4472837448120117,1.8467946869134904,1.647018077477469e-10
2,21,10437,-113.78143545408966,0.3332088939617582,0.7393589755281423,0.25321545325315153,0.6757962285326078,0.10909201689064503,0.1259804579988122,6.940628807786852,156,0.1,1.4447041749954224,1.8361553257703782,1.5423001764602873e-10
2,22,10555,-110.56872832402587,0.6025699955940057,0.9096474668989747,0.4419881369666023,0.7955383952643912,0.10541962366551161,0.12240771919488908,8.385520118318329,118,0.1,1.4332114458084106,1.8330515944957733,1.711070618526378e-09
2,23,10686,-108.14213937520981,0.28266554420728607,0.5194593738508588,0.14408407533783038,0.40554442307876265,0.101907850220436,0.11971425832044788,10.176053848450717,131,0.1,1.4260826110839844,1.8244900069585661,4.074277373811164e-12
2,24,10776,-115.23429506272078,0.4054132742031167,0.7641432358158959,0.28617484021104045,0.6514192604356341,0.09944199603505251,0.11568429735375614,5.460593550388391,90,0.1,1.4135717153549194,1.8220876478567356,2.6127672941855806e-11
2,25,10855,-112.42777944356203,0.5907566630387608,0.6776473539162285,0.43401906377624105,0.550369880433324,0.0966806204191276,0.11280861369201116,9.616533996989684,79,0.1,1.407206416130066,1.8165192575681777,6.439961758308854e-11
2,26,10943,-107.47874058410525,0.388514185112647,0.6228311642665755,0.24715609511953185,0.5234097310087897,0.09393442319262596,0.1112029251952966,9.784205323684727,88,0.1,1.4009705781936646,1.8162248832838876,5.830099597536886e-11
2,27,11075,-119.88874696847051,0.4089730394912432,0.6657001446142341,0.24374130064847344,0.5356768354999296,0.09263685877834048,0.10889356100843066,7.646414982273171,132,0.1,1.3939135074615479,1.8106979409853616,8.749138913355381e-11
2,28,11209,-114.49131788220257,0.4599045055654289,0.663572362220999,0.35687708655900474,0.5848592891177135,0.09126393996005834,0.10780143311550451,9.59458308826344,134,0.1,1.3836843967437744,1.8051576714183009,1.3502601814430193e-10
2,29,11306,-108.40741659514606,0.4116842909956101,0.6749186744702231,0.32756287153311,0.6078953961121667,0.09017983255691306,0.1056553988609203,8.106300063364001,97,0.1,1.3741346597671509,1.8020776083303052,5.622097232205192e-11
2,30,11347,-110.39739622920752,0.5416193702598897,0.739310399061296,0.44551754670172206,0.6617324068778898,0.0886797805401412,0.10421245595948263,9.961085061519407,41,0.1,1.3675607442855835,1.792295367609371,9.228651731696402e-10
2,31,11378,-110.86138121783733,0.5821854986490742,0.7127686854331724,0.4261581527609979,0.5859726946200093,0.08707993416623636,0.10259466699578546,10.583320324433346,31,0.1,1.365010380744934,1.7954938032410361,6.26963370109479e-10
2,32,11465,-113.68983728438616,0.41085442943477085,0.7858288565586353,0.34042226638773393,0.7280494837925352,0.08680086237463085,0.10181851752779701,9.708023594209227,87,0.1,1.3628878593444824,1.7959017076275565,2.2309269986919844e-09
2,33,11502,-112.41296239197254,0.7252313257069201,0.8073212858792898,0.6005441165856413,0.7278085681232246,0.08586585687642748,0.10053544210439379,13.348986256324375,37,0.1,1.3580703735351562,1.7860235192558982,1.9354990943298844e-09
2,34,11611,-118.69567850464955,1.0382266175856285,0.8525661645679299,0.8083141320854972,0.6418528138497553,0.08439103839072314,0.09962840432470495,9.339431940754876,109,0.1,1.3560429811477661,1.7891715586185455,5.0736640583304293e-11
