seed,episode,total_steps,reward,nominal_error_avg,residual_error_avg,dhat_norm_avg,uncertainty_avg,res_net_loss,rbf_loss,td_loss_avg,episode_length,expl_noise,buffer_uncert_avg,sampled_uncert_avg,rollout_uncert_avg
1,1,55,-102.83635771926492,1.9754905424334785,1.9823611487041821,1.7020256251096726,1.8982384129004044,nan,nan,nan,55,0.1,nan,nan,nan
1,2,1655,-81.32688724831678,1.58427342828596,1.589288152847439,1.2690634696255438,1.4156115213269367,nan,nan,nan,1600,0.1,nan,nan,nan
1,3,3255,-94.07296826539095,1.653922100912314,1.6615181429404766,1.340845311516896,1.4991498408978805,nan,nan,nan,1600,0.1,nan,nan,nan
1,4,3331,-96.71353403478861,1.5913324842327519,1.5869413355463429,1.2889785233296847,1.428700145922209,nan,nan,nan,76,0.1,nan,nan,nan
1,5,4931,-80.55717967089731,1.6339483050483978,1.641229783464223,1.3114343791804277,1.466144009991549,nan,nan,nan,1600,0.1,nan,nan,nan
1,6,4995,-105.11404460249469,1.620270806364715,1.61942168045789,1.361001439858228,1.512141162995249,nan,nan,nan,64,0.1,nan,nan,nan
1,7,5092,-103.64588265307248,1.8458177481115479,1.854578725763203,1.5252721782812138,1.7058102891002733,nan,nan,nan,97,0.1,nan,nan,nan
1,8,6692,-82.43951017793734,1.6418869714165338,1.6498920675367117,1.3299110017792555,1.4877691461797804,nan,nan,nan,1600,0.1,nan,nan,nan
1,9,8292,-84.5216519763344,1.6249285762035288,1.6342199646681548,1.2962972706009168,1.452858139644377,nan,nan,nan,1600,0.1,nan,nan,nan
1,10,9892,-88.87846352049382,1.6525931669468992,1.656596594452858,1.3255149849189911,1.47743399776984,nan,nan,nan,1600,0.1,nan,nan,nan
1,11,9970,-100.01095288433135,1.636970476557811,1.6412579130667906,1.3435143976448438,1.496713081231484,nan,nan,nan,78,0.1,nan,nan,nan
1,12,10023,-113.27451293356717,1.4704886388103917,1.4821631219589486,1.2112011144746024,1.3635497416527766,nan,nan,5.863741071068216,53,0.1,nan,nan,nan
1,13,10169,-112.60913129337132,0.2513665127877325,0.8014790091204317,0.14725153635523908,0.715974046555284,0.33734595447014537,0.1937142074872286,2.231340098356928,146,0.1,1.4708753824234009,1.8436385466502263,5.844273687216628e-08
1,14,10313,-116.2347491569817,0.2102049756819421,0.5214960970398452,0.07675463328551915,0.41866776078111595,0.12794503134030563,0.12875167429447174,2.5059868217703687,144,0.1,1.4600368738174438,1.8369202522131114,6.466210900057945e-11
1,15,10484,-116.36594959907234,0.19983552651185738,0.6872329473146919,0.11018552872956845,0.6113556377720415,0.1051639660820365,0.12358331587165594,3.421358180192628,171,0.1,1.4454964399337769,1.8324326598644256,2.9371624576945976e-10
1,16,10621,-126.2483578119427,0.19926764898981056,0.7700791415506906,0.18384548233155787,0.7475601793640722,0.10125068962574005,0.11963628180325031,4.741386740753212,137,0.1,1.4318909645080566,1.8234190666675567,1.5415878351632273e-08
1,17,10815,-117.22347703203559,0.3840998888001345,0.726438641701777,0.32257658719402,0.6721044816460806,0.09928719841125534,0.11646287851944202,4.050939950644725,194,0.1,1.42306387424469,1.8147221972302692,2.4707583534677724e-08
1,18,10893,-115.95497606648132,0.4254869154582803,0.79370622527905,0.3119740220121084,0.704528468923691,0.09618477526874769,0.11256019905919121,5.984624602246497,78,0.1,1.409593105316162,1.8090180947667076,3.8577641703341214e-07
1,19,11028,-116.97185202827677,0.5366687492243256,0.8777273124014889,0.4127080307238632,0.7968028534341741,0.09403783100701514,0.11107583028219994,2.9264345129378713,135,0.1,1.404544472694397,1.8032432204201108,1.1556612378171849e-07
1,20,11083,-118.01345628872514,0.894886450604959,0.9536055115136233,0.7803523884578185,0.8608887406912717,0.09201478129902552,0.10807474827350572,6.8229188945516945,55,0.1,1.3971047401428223,1.7969290849774382,7.146741154429037e-07
1,21,11171,-111.4238657860551,0.6786103533496234,0.8435689644380049,0.585840470072898,0.781065144660798,0.08999859656012335,0.10655666811521664,5.214255065095495,88,0.1,1.3944437503814697,1.7946555109911186,5.098373776490916e-07
1,22,11233,-114.59941490460187,0.601750131125652,0.7317700535058975,0.454328371782697,0.5955175161361694,0.08859410483476728,0.10544234029082365,5.609531889347514,62,0.1,1.389611840248108,1.7880809384723042,1.1594188435992692e-06
1,23,11320,-121.87488356418908,0.716860711831471,0.8003907268759848,0.5600772421464495,0.6741791860810642,0.08734451639790868,0.1045033780641334,6.54352814850572,87,0.1,1.3852288722991943,1.7899237372154413,3.622985786932986e-07
1,24,11448,-107.41151436371729,0.6512903924885904,0.8728919894201681,0.5821482706523966,0.8192446309840307,0.08670448545705188,0.1032109468836676,7.058932242736531,128,0.1,1.3797640800476074,1.7807757876136086,1.9010228058391476e-08
