seed,episode,total_steps,reward,nominal_error_avg,residual_error_avg,dhat_norm_avg,uncertainty_avg,res_net_loss,rbf_loss,td_loss_avg,episode_length,expl_noise,buffer_uncert_avg,sampled_uncert_avg,rollout_uncert_avg,rollout_pass_rate,rollout_avg_horizon,rbf_calib_ratio,rbf_calib_corr
1,1,55,-102.87004190124571,2.0301148598844354,2.051138285073367,1.7027570616115224,1.9155190657485615,nan,nan,nan,55,0.1,nan,nan,nan,nan,nan,nan,nan
1,2,1655,-82.29884529788978,1.591605359990499,1.61659973802045,1.2680437440879178,1.4393718097358943,nan,nan,nan,1600,0.1,nan,nan,nan,nan,nan,nan,nan
1,3,3255,-98.02842027321458,1.664009112889762,1.6813479171600192,1.335278240047628,1.5054392658732831,nan,nan,nan,1600,0.1,nan,nan,nan,nan,nan,nan,nan
1,4,3331,-96.53359939903021,1.6140048021548672,1.6334259576703374,1.3110984622647888,1.4797142281344062,nan,nan,nan,76,0.1,nan,nan,nan,nan,nan,nan,nan
1,5,4931,-75.15231121238321,1.626720679751561,1.6454712627269328,1.2983376865589527,1.4657640930172056,nan,nan,nan,1600,0.1,nan,nan,nan,nan,nan,nan,nan
1,6,5003,-103.4614904243499,1.6914444259471364,1.7131802025768492,1.3896821575860183,1.5686443108651373,nan,nan,nan,72,0.1,nan,nan,nan,nan,nan,nan,nan
1,7,5092,-116.77249185740948,1.6945657181773293,1.7143536313865961,1.3720832934624023,1.547737854585219,nan,nan,nan,89,0.1,nan,nan,nan,nan,nan,nan,nan
1,8,6692,-96.42974935774691,1.6430678527522833,1.663225588928908,1.31447103770799,1.4853771543130279,nan,nan,nan,1600,0.1,nan,nan,nan,nan,nan,nan,nan
1,9,8292,-86.52437206887407,1.6330147204894456,1.6525588853284716,1.3199343723850325,1.4905285590793937,nan,nan,nan,1600,0.1,nan,nan,nan,nan,nan,nan,nan
1,10,9892,-97.73392391693778,1.6455941215122585,1.6686180183943362,1.3120718456164469,1.4859078872110694,nan,nan,nan,1600,0.1,nan,nan,nan,nan,nan,nan,nan
1,11,9970,-99.9956936929375,1.648364664079287,1.6799561442472997,1.3422777897749956,1.5249705305084205,nan,nan,nan,78,0.1,nan,nan,nan,nan,nan,nan,nan
1,12,10024,-111.06932434299961,1.503820523067757,1.526998519897461,1.2599012530236333,1.4285344840199858,nan,nan,5.853055551752914,54,0.1,nan,nan,nan,nan,nan,nan,nan
1,13,10077,-109.69518740102649,0.7389907011727117,0.7450039243360735,0.4298954848551525,0.4799130499925254,0.33059484729400046,0.6306689442732395,17.860738513884133,53,0.1,1.4824833869934082,1.8462969694382105,2.6119725704193115,0.0,1.0,1.7474762201309204,0.08143458411662438
1,14,10267,-117.18838057806715,0.2019760563173086,0.9374554558804161,0.17608565276390628,0.892908765297187,0.12340168658739481,0.613125660786262,17.926382573818984,190,0.1,1.4772104024887085,1.8531143591954158,2.577510356903076,0.0,1.0,1.7435513734817505,0.09400789484718464
1,15,11867,-148.04204584658146,0.01679957089063146,0.7160480314120651,0.0799025766341947,0.7127188182249665,0.10440520633012057,0.595390819311142,20.09624533208087,1600,0.1,1.4663972854614258,1.8436586475372314,2.5443429946899414,0.0,1.0,1.726332187652588,0.08143663726705296
