seed,episode,total_steps,reward,nominal_error_avg,residual_error_avg,dhat_norm_avg,uncertainty_avg,res_net_loss,rbf_loss,td_loss_avg,episode_length,expl_noise,buffer_uncert_avg,sampled_uncert_avg
2,1,98,-120.1910603530705,1.3190327309528176,1.3459360268043012,1.1264876672351847,1.2807823953275779,nan,nan,nan,98,0.1,nan,nan
2,2,170,-116.29841950535774,1.6331943805432982,1.649719496568044,1.3630938754520483,1.5344050354841683,nan,nan,nan,72,0.1,nan,nan
2,3,1770,-86.20165671140421,1.6047655456716894,1.6215502116736025,1.2793385680147913,1.4424834705051035,nan,nan,nan,1600,0.1,nan,nan
2,4,3370,-78.45602380740456,1.6117682693578537,1.6287906849384308,1.2822293824801454,1.4462704906100408,nan,nan,nan,1600,0.1,nan,nan
2,5,3416,-105.15392838232219,1.9857865170292233,2.0025755400243015,1.666725409095702,1.8735030915426172,nan,nan,nan,46,0.1,nan,nan
2,6,3568,-120.77264335099608,1.4512454627179785,1.4706806213055785,1.1507950529554172,1.3026776654939902,nan,nan,nan,152,0.1,nan,nan
2,7,5168,-79.2629223318072,1.5774316254945007,1.5951552025880664,1.25670089125284,1.4182200346142053,nan,nan,nan,1600,0.1,nan,nan
2,8,5226,-101.04983006883413,1.771507466661519,1.7814253075369473,1.4562308084348152,1.629953031909877,nan,nan,nan,58,0.1,nan,nan
2,9,5319,-118.29234862141311,1.5398230216195505,1.5649278002080096,1.2459267996732266,1.4153595220658086,nan,nan,nan,93,0.1,nan,nan
2,10,6919,-75.62609635968693,1.6179235025105299,1.6338706622458994,1.2874815933778883,1.450130426781252,nan,nan,nan,1600,0.1,nan,nan
2,11,7019,-99.77751749940217,1.461920916736126,1.4782795391976833,1.2150988680124284,1.3677352081239222,nan,nan,nan,100,0.1,nan,nan
2,12,8619,-80.89814608363668,1.5615069134521764,1.5809233944583685,1.2395644826558418,1.4017267351504414,nan,nan,nan,1600,0.1,nan,nan
2,13,10219,-86.59337514883373,1.4247997688372924,1.4594620798155666,1.1259614298632368,1.29103666880168,nan,nan,6.874209398313806,1600,0.1,nan,nan
2,14,10386,-109.55143425473943,0.2106623223755846,0.4109378426285561,0.14455326666363966,0.3467250881928527,0.3904131860305101,0.24673026219392435,1.693718112015631,167,0.1,1.4094246625900269,1.823888704715631
2,15,11986,-70.3959487020038,0.13742973549003693,0.6610007752594538,0.12960266379814128,0.6133349402574823,0.15447329692542552,0.1231459480524063,3.0785362072735736,1600,0.1,1.3923370838165283,1.816796098947525
2,16,13586,-91.86249593785033,0.12011434133242373,0.5121203461661935,0.095384045697283,0.47040227747987956,0.09745675808061724,0.10270723966152771,2.931606036851299,1600,0.1,1.2883487939834595,1.7496929070223932
2,17,13935,-147.6156116956845,0.23719046208283304,0.7408343693588388,0.23280791763781988,0.7219203424274409,0.08821335420855936,0.09121159961763418,2.71006316866397,349,0.1,1.1920206546783447,1.6836542840273876
2,18,15535,-116.06850565853529,0.6978818281066197,0.9041496266890318,0.46800292443251235,0.7104566607810557,0.08552193299487786,0.08903076452789484,2.4243381780000344,1600,0.1,1.1802470684051514,1.6766177084710863
2,19,17135,-70.90497577993665,0.2806682338344038,0.5187663144059479,0.23189198684471193,0.4543549317121506,0.08196511442462603,0.0824870238204797,2.0261416519328486,1600,0.1,1.1318618059158325,1.6192847696940105
2,20,18735,-64.14015410433058,1.2995184263776174,0.9584546130802483,1.0226752779039088,0.6618799774395302,0.07720485790209337,0.07525578333121358,1.3603055727713218,1600,0.1,1.0685988664627075,1.576530277006554
2,21,20335,-81.96892030898016,1.528809369597584,1.0670151167921722,1.28891102835536,0.8169113217806444,0.07537563302337306,0.0730590605368353,1.178850288655376,1600,0.1,1.0338643789291382,1.5383961367280516
2,22,21935,-110.5419563637115,0.17307248406696196,0.5488056451268494,0.1910668758803513,0.5291811792831868,0.07588350707782975,0.07366465782817407,0.8330470753757981,1600,0.1,1.0167940855026245,1.491094509257546
2,23,23535,-113.7565785269253,0.33856016071199446,0.5305427655950189,0.3147395796224009,0.48076827517710624,0.07338711700018714,0.07058714681688477,0.5976511005926295,1600,0.1,0.9812262058258057,1.459204869550817
2,24,23877,-134.50032975431532,1.1899551738772476,1.0264399377574698,1.021994958942135,0.8617979447134057,0.07123200294080671,0.06722586897539569,0.17883740399197182,342,0.1,0.9472031593322754,1.427513289975596
2,25,24586,-168.4512966305483,1.375155350679403,1.0251320689202028,1.1197811202638703,0.7593565944513918,0.07105399528818745,0.0666341730423512,0.38116691283881665,709,0.1,0.94597989320755,1.4275126288014073
2,26,26186,-118.78842138091568,1.3115536311467075,0.9573033048491925,0.9993051672494039,0.6523546888679266,0.07046987049592038,0.06630334081128239,0.8197111161021167,1600,0.1,0.9405980110168457,1.4107764855027198
2,27,27786,-107.62852345278952,1.1343901295040268,0.8559959680214524,0.8141376932023558,0.5729114279197529,0.0700683165049436,0.06627834107653767,0.6225101042649476,1600,0.1,0.9229860305786133,1.3888214929431093
2,28,27858,-111.33816994540393,1.07003738420705,1.0581782315340307,0.9300807328480813,0.9385618157684803,0.06895294485406743,0.0637167564627749,0.8304349680830325,72,0.1,0.9028276801109314,1.3588173230489096
2,29,28001,-106.21567255724221,0.8430711521760567,0.8673592528679988,0.7499530084326967,0.7981034131733687,0.06781731873612713,0.06271780887273727,0.5425640896528161,143,0.1,0.9029200673103333,1.3590516876291345
2,30,29601,-87.24294035148341,1.075854732194439,0.7798689740058035,0.8480784066184424,0.5589204431325198,0.06702871087494247,0.06257616829708082,0.8374638919602149,1600,0.1,0.9023848176002502,1.3567779018244612
2,31,29659,-108.88245306350291,1.5323028907436749,0.8632008972866781,1.387760105574953,0.743852596344619,0.06582150452810785,0.06027010556148446,0.6856386367976666,58,0.1,0.8838197588920593,1.3365304206765216
2,32,29715,-104.98780161701143,1.512789220016982,0.9958830060703414,1.3490655809374792,0.828645724271025,0.06444360081268394,0.05934081945082416,1.0495978374034167,56,0.1,0.8835461139678955,1.3324333624217821
2,33,29760,-106.77464330988005,2.093638923433092,0.901155686378479,1.9678545282946693,0.8026569565137227,0.06322586978946267,0.05846008325059866,0.04168012817390263,45,0.1,0.8834425806999207,1.3347112474770382
2,34,29849,-118.8632996357046,1.4622987070110407,0.9415797139151713,1.3424267315546448,0.8594879215018133,0.061832634410981475,0.05702663101898185,0.16154316500760615,89,0.1,0.8833204507827759,1.335756120394016
2,35,31449,-121.28493936988525,1.0246036054298748,0.6957362715154887,0.8071538329817122,0.4754168869880959,0.06058150206146569,0.056130080747193306,1.1992786892363803,1600,0.1,0.8832494616508484,1.3329045170340044
2,36,33049,-131.22343721846119,1.0907109849370318,0.7311359096830711,0.912951635235222,0.5326197191840037,0.05909478332786287,0.053066626447634616,0.9023145431524608,1600,0.1,0.8625004887580872,1.3124770414633828
2,37,33096,-106.28165357932448,0.9579435504497366,0.8217283899479724,0.8874332075740429,0.7657022862992389,0.05728729287552279,0.05121389633809873,0.7258638124680147,47,0.1,0.8465299606323242,1.2929919695669367
2,38,34696,-109.9600634756498,1.314591322906781,0.6577782367030158,1.1600910358957481,0.4760630281642079,0.05633038665897162,0.05047061478560285,0.8033635651983786,1600,0.1,0.8464151620864868,1.294290369055992
2,39,34742,-109.76883704215288,0.9785800112978272,0.9752888400917468,0.869147857732099,0.8791980043701504,0.05499173864170357,0.04998473937312762,1.1484838931821286,46,0.1,0.829336404800415,1.2753262867750945
2,40,34792,-108.49951327592134,0.8901955741643905,0.8695722419023514,0.7497364654392004,0.7521632784605026,0.054481906868793346,0.048768953222919395,0.9715567321516574,50,0.1,0.8294024467468262,1.2744694746865166
2,41,36392,-113.94073621579446,1.0744162589497863,0.6831656433222816,0.7591121719335205,0.37335406309459357,0.05357995848964762,0.04862909063144966,0.8192449398012832,1600,0.1,0.8292914032936096,1.27433351499063
2,42,37992,-120.54714403767139,0.9823734267032705,0.6320889188721776,0.731186276464141,0.35981731875333933,0.05254760892458365,0.04634845487143792,0.7816627498692833,1600,0.1,0.8092458844184875,1.259366401148514
2,43,39592,-102.62502081919229,1.4045106824906544,0.8962546453159302,1.19512184718973,0.666723677907139,0.05175956118147115,0.045065384544432166,0.7404367685120087,1600,0.1,0.7903185486793518,1.2412124090903514
2,44,39654,-117.20205116271973,1.4051913996377299,1.0086392068093823,1.28111022494493,0.910477295998604,0.05295602477990188,0.045679298522216936,0.12897010818123816,62,0.1,0.7853237986564636,1.2276233409906363
2,45,39860,-101.0922548091039,1.185847518658175,1.0247892001010839,1.0238502657004787,0.872975499088903,0.05277677233052718,0.04574260025152138,0.7720417363056913,206,0.1,0.785519540309906,1.2305411030719806
2,46,39915,-116.31724816933274,1.2750248754566367,0.9105725792321292,1.119972156191414,0.7588877071033825,0.05264447209335143,0.04597084542916667,0.6513594641163946,55,0.1,0.7859715223312378,1.2290305239154447
