seed,episode,total_steps,reward,nominal_error_avg,residual_error_avg,dhat_norm_avg,uncertainty_avg,res_net_loss,rbf_loss,td_loss_avg,episode_length,expl_noise,buffer_uncert_avg,sampled_uncert_avg,rollout_uncert_avg,rollout_pass_rate,rollout_avg_horizon,rbf_calib_ratio,rbf_calib_corr
1,1,55,-102.88149868510664,2.0125033037229016,2.033703048662706,1.701767828247764,1.9147402622482994,nan,nan,nan,55,0.1,nan,nan,nan,nan,nan,nan,nan
1,2,1655,-83.86178100609686,1.62265348613495,1.6478505221474915,1.2885932942549698,1.4628614575602115,nan,nan,nan,1600,0.1,nan,nan,nan,nan,nan,nan,nan
1,3,1807,-118.61488076299429,1.4338199963891192,1.4614951321365017,1.1611269996991676,1.3210879152542667,nan,nan,nan,152,0.1,nan,nan,nan,nan,nan,nan,nan
1,4,1947,-122.67522168252617,1.4341637887592826,1.4604042476841381,1.1420290557135429,1.3004899675292627,nan,nan,nan,140,0.1,nan,nan,nan,nan,nan,nan,nan
1,5,2023,-104.09080743137747,1.6825377524487282,1.7045361415336007,1.3997963228213943,1.5794006203742403,nan,nan,nan,76,0.1,nan,nan,nan,nan,nan,nan,nan
1,6,3623,-74.63987872458529,1.5912745200225618,1.6166358761489392,1.254928985190345,1.4251889693643898,nan,nan,nan,1600,0.1,nan,nan,nan,nan,nan,nan,nan
1,7,5223,-80.6473507292103,1.6447022892709355,1.6647392619773747,1.3176603950629941,1.4882702063582838,nan,nan,nan,1600,0.1,nan,nan,nan,nan,nan,nan,nan
1,8,5262,-106.82753321155906,1.7259394803490393,1.7440022784165847,1.47146714784396,1.6553800591291525,nan,nan,nan,39,0.1,nan,nan,nan,nan,nan,nan,nan
1,9,6862,-77.07551712717395,1.665245845047757,1.6841777323093265,1.343761491914047,1.515487691471353,nan,nan,nan,1600,0.1,nan,nan,nan,nan,nan,nan,nan
1,10,6934,-98.78588317800313,1.8023785663147767,1.8229931183159351,1.4894452800767288,1.6774090201490455,nan,nan,nan,72,0.1,nan,nan,nan,nan,nan,nan,nan
1,11,7018,-109.30337208113633,1.7653616987878369,1.7936716626087825,1.4914199226269764,1.6886466700761091,nan,nan,nan,84,0.1,nan,nan,nan,nan,nan,nan,nan
1,12,8618,-79.5815231197048,1.643309141668724,1.6677353481575847,1.3063599905883894,1.481831419588998,nan,nan,nan,1600,0.1,nan,nan,nan,nan,nan,nan,nan
1,13,10218,-83.63471272581955,1.4425224959742582,1.486982414154336,1.1499674702691847,1.3271321885380893,nan,nan,8.452625523402821,1600,0.1,nan,nan,nan,nan,nan,nan,nan
1,14,10314,-119.82875958830118,0.32859192744945176,0.5019495172115663,0.16336578041470298,0.37375159297759336,nan,nan,6.416855582305127,96,0.1,nan,nan,nan,nan,nan,nan,nan
1,15,10391,-112.53198220767081,0.5011967596803586,0.6176441110573806,0.27613449682082447,0.4565311579348205,nan,nan,8.769531796553306,77,0.1,nan,nan,nan,nan,nan,nan,nan
