episode,total_steps,eval_reward_avg,ep_steps,reward,env_return,nominal_error_avg,residual_error_avg,dhat_norm_avg,uncertainty_avg,res_net_loss,rbf_loss,td_loss_avg,buffer_uncert_avg,sampled_uncert_avg,fresh_uncert_avg,rollout_uncert_avg,rollout_pass_rate,rollout_avg_horizon
1,16,nan,16,9.293308347463608,9.311149327569552,1.5715515613555908,1.5715515613555908,1.4143962860107422,1.5715515613555908,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,27,nan,11,5.975917965173721,5.980287999444202,1.5657806396484375,1.5657806396484375,1.4092025756835938,1.5657806396484375,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,47,nan,20,13.346363380551338,13.351456109575722,1.4849827289581299,1.4849827289581299,1.3364845514297485,1.4849827289581299,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,56,nan,9,4.864671349525452,4.859519889635875,1.89464271068573,1.89464271068573,1.7051783800125122,1.89464271068573,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,84,nan,28,30.12722945213318,30.16563955660984,1.5538941621780396,1.5538941621780396,1.3985048532485962,1.5538941621780396,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,132,nan,48,58.36292912065983,58.37816918272736,1.3943185806274414,1.3943185806274414,1.2548867464065552,1.3943185806274414,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,148,nan,16,11.791699528694153,11.824768995840746,1.5165836811065674,1.5165836811065674,1.3649252653121948,1.5165836811065674,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,166,nan,18,15.892019748687744,15.905014534986064,1.4739922285079956,1.4739922285079956,1.326593041419983,1.4739922285079956,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,202,nan,36,13.003186654299498,13.015393345715882,1.4089937210083008,1.4089937210083008,1.2680941820144653,1.4089937210083008,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,220,nan,18,9.650526808574796,9.657638570865803,1.3265631198883057,1.3265631198883057,1.1939066648483276,1.3265631198883057,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,244,nan,24,26.08081966638565,26.1002264331562,1.3645802736282349,1.3645802736282349,1.2281222343444824,1.3645802736282349,nan,nan,nan,nan,nan,nan,nan,nan,nan
12,257,nan,13,11.382481278851628,11.382161535848663,1.6243672370910645,1.6243672370910645,1.4619303941726685,1.6243672370910645,nan,nan,nan,nan,nan,nan,nan,nan,nan
13,279,nan,22,10.547821859829128,10.585297852100492,1.191102147102356,1.191102147102356,1.071992039680481,1.191102147102356,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,314,nan,35,25.38976550102234,25.390727017589143,1.3916517496109009,1.3916517496109009,1.2524864673614502,1.3916517496109009,nan,nan,nan,nan,nan,nan,nan,nan,nan
15,329,nan,15,7.054522231221199,7.04397727055491,1.4650425910949707,1.4650425910949707,1.3185384273529053,1.4650425910949707,nan,nan,nan,nan,nan,nan,nan,nan,nan
16,344,nan,15,13.319747883826494,13.320262333454478,1.553568720817566,1.553568720817566,1.39821195602417,1.553568720817566,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,360,nan,16,13.304747834801674,13.32256353919653,1.5153639316558838,1.5153639316558838,1.3638274669647217,1.5153639316558838,nan,nan,nan,nan,nan,nan,nan,nan,nan
18,379,nan,19,14.138210952281952,14.14976356327395,1.6449724435806274,1.6449724435806274,1.4804749488830566,1.6449724435806274,nan,nan,nan,nan,nan,nan,nan,nan,nan
19,398,nan,19,18.867274910211563,18.9016051614357,1.4020553827285767,1.4020553827285767,1.2618499994277954,1.4020553827285767,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,422,nan,24,18.65656343102455,18.674982481588366,1.356727957725525,1.356727957725525,1.2210551500320435,1.356727957725525,nan,nan,nan,nan,nan,nan,nan,nan,nan
21,445,nan,23,14.99540501832962,14.982464280706324,1.4888628721237183,1.4888628721237183,1.3399765491485596,1.4888628721237183,nan,nan,nan,nan,nan,nan,nan,nan,nan
22,496,nan,51,48.487639993429184,48.49772223039404,1.6032931804656982,1.6032931804656982,1.442963719367981,1.6032931804656982,nan,nan,nan,nan,nan,nan,nan,nan,nan
23,518,nan,22,15.058312177658081,15.065114831961749,1.6587170362472534,1.6587170362472534,1.4928454160690308,1.6587170362472534,nan,nan,nan,nan,nan,nan,nan,nan,nan
24,545,nan,27,16.9941388964653,17.02759507623942,1.3544073104858398,1.3544073104858398,1.2189664840698242,1.3544073104858398,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,602,nan,57,88.6116269826889,88.62062323232735,1.6188162565231323,1.6188162565231323,1.4569346904754639,1.6188162565231323,nan,nan,nan,nan,nan,nan,nan,nan,nan
26,627,nan,25,16.104810416698456,16.109021657097916,1.381077527999878,1.381077527999878,1.2429698705673218,1.381077527999878,nan,nan,nan,nan,nan,nan,nan,nan,nan
27,665,nan,38,31.769140288233757,31.790077710241064,1.5012158155441284,1.5012158155441284,1.351094126701355,1.5012158155441284,nan,nan,nan,nan,nan,nan,nan,nan,nan
28,680,nan,15,13.413493011146784,13.413527029212839,1.513708233833313,1.513708233833313,1.362337350845337,1.513708233833313,nan,nan,nan,nan,nan,nan,nan,nan,nan
29,692,nan,12,7.436589062213898,7.449632453704058,1.4857970476150513,1.4857970476150513,1.3372173309326172,1.4857970476150513,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,703,nan,11,7.864880174398422,7.874540961805071,1.3489246368408203,1.3489246368408203,1.2140320539474487,1.3489246368408203,nan,nan,nan,nan,nan,nan,nan,nan,nan
31,721,nan,18,12.048780158162117,12.052396585727461,1.1901901960372925,1.1901901960372925,1.0711712837219238,1.1901901960372925,nan,nan,nan,nan,nan,nan,nan,nan,nan
32,734,nan,13,8.074271202087402,8.076934323497294,1.2052537202835083,1.2052537202835083,1.0847283601760864,1.2052537202835083,nan,nan,nan,nan,nan,nan,nan,nan,nan
33,757,nan,23,19.61148139834404,19.61424868246788,1.3828784227371216,1.3828784227371216,1.244590401649475,1.3828784227371216,nan,nan,nan,nan,nan,nan,nan,nan,nan
34,790,nan,33,39.08403643965721,39.112696496408155,1.31753671169281,1.31753671169281,1.1857830286026,1.31753671169281,nan,nan,nan,nan,nan,nan,nan,nan,nan
35,798,nan,8,4.3939661383628845,4.401644775920136,1.7145792245864868,1.7145792245864868,1.543121337890625,1.7145792245864868,nan,nan,nan,nan,nan,nan,nan,nan,nan
36,813,nan,15,5.858738645911217,5.859477102772888,1.5187561511993408,1.5187561511993408,1.3668805360794067,1.5187561511993408,nan,nan,nan,nan,nan,nan,nan,nan,nan
37,834,nan,21,11.251056401059031,11.258437403644947,1.2907650470733643,1.2907650470733643,1.1616884469985962,1.2907650470733643,nan,nan,nan,nan,nan,nan,nan,nan,nan
38,846,nan,12,8.519318416714668,8.514297294693762,1.5125107765197754,1.5125107765197754,1.3612598180770874,1.5125107765197754,nan,nan,nan,nan,nan,nan,nan,nan,nan
39,860,nan,14,8.354211404919624,8.357497251385436,1.7421330213546753,1.7421330213546753,1.5679197311401367,1.7421330213546753,nan,nan,nan,nan,nan,nan,nan,nan,nan
40,879,nan,19,11.638476014137268,11.636068275696626,1.3322288990020752,1.3322288990020752,1.1990060806274414,1.3322288990020752,nan,nan,nan,nan,nan,nan,nan,nan,nan
