seed,episode,total_steps,reward,nominal_error_avg,residual_error_avg,dhat_norm_avg,uncertainty_avg,res_net_loss,rbf_loss,td_loss_avg,episode_length,expl_noise,buffer_uncert_avg,sampled_uncert_avg,rollout_uncert_avg,rollout_pass_rate,rollout_avg_horizon,rbf_calib_ratio,rbf_calib_corr
2,1,104,-121.6067157573998,1.3588892371895223,1.3904919501107473,1.1684414115376198,1.3314197878711498,nan,nan,nan,104,0.1,nan,nan,nan,nan,nan,nan,nan
2,2,1704,-88.43881628697272,1.6091802254214418,1.634477550489828,1.2790948894468601,1.4522462131548672,nan,nan,nan,1600,0.1,nan,nan,nan,nan,nan,nan,nan
2,3,3304,-75.07465811708244,1.6502460018137937,1.6752206492330879,1.3178041846829,1.495281569706276,nan,nan,nan,1600,0.1,nan,nan,nan,nan,nan,nan,nan
2,4,3376,-106.1978423485998,1.428088163336118,1.4548856903695397,1.1382936044699616,1.296992350783613,nan,nan,nan,72,0.1,nan,nan,nan,nan,nan,nan,nan
2,5,3436,-111.72664429806173,1.809191304569443,1.8316768646240233,1.5468165237767002,1.7444672668973604,nan,nan,nan,60,0.1,nan,nan,nan,nan,nan,nan,nan
2,6,3478,-108.39843837916851,1.7026282399892807,1.735094435867809,1.3893727060584795,1.5824443155101366,nan,nan,nan,42,0.1,nan,nan,nan,nan,nan,nan,nan
2,7,3548,-106.77816417254508,1.6064610098089491,1.6307277760335377,1.306043105678899,1.4820320951087134,nan,nan,nan,70,0.1,nan,nan,nan,nan,nan,nan,nan
2,8,3607,-106.27216171287,1.6698657784421564,1.6960559451984147,1.322446144864721,1.5006444047568208,nan,nan,nan,59,0.1,nan,nan,nan,nan,nan,nan,nan
2,9,5207,-78.41234201740008,1.608552355155698,1.6347642142046244,1.283684336631559,1.4589133867435158,nan,nan,nan,1600,0.1,nan,nan,nan,nan,nan,nan,nan
2,10,5264,-101.40195243060589,1.7235754200241022,1.7438844243685405,1.4501852960440151,1.6340930524625277,nan,nan,nan,57,0.1,nan,nan,nan,nan,nan,nan,nan
2,11,5342,-102.24304579757154,1.7987648107302494,1.8283846939985569,1.4754676524645243,1.676392898727686,nan,nan,nan,78,0.1,nan,nan,nan,nan,nan,nan,nan
2,12,5405,-104.7268734080717,1.6372561691299317,1.6703673243995696,1.3832457330491807,1.5758219351844183,nan,nan,nan,63,0.1,nan,nan,nan,nan,nan,nan,nan
2,13,5482,-100.13869408331811,1.5225662727924911,1.547904997676998,1.1980279827272737,1.3627063697808748,nan,nan,nan,77,0.1,nan,nan,nan,nan,nan,nan,nan
