seed,episode,total_steps,reward,nominal_error_avg,residual_error_avg,dhat_norm_avg,uncertainty_avg,res_net_loss,rbf_loss,td_loss_avg,episode_length,expl_noise,buffer_uncert_avg,sampled_uncert_avg,rollout_uncert_avg,rollout_pass_rate,rollout_avg_horizon,rbf_calib_ratio,rbf_calib_corr
1,1,55,-102.83592418860644,1.9752079329707406,1.9965484299442984,1.7015584455295043,1.913778345151381,nan,nan,nan,55,0.1,nan,nan,nan,nan,nan,nan,nan
1,2,1655,-87.58780120150186,1.6353316554264166,1.6593018921185285,1.3018587599694729,1.4754941480234265,nan,nan,nan,1600,0.1,nan,nan,nan,nan,nan,nan,nan
1,3,3255,-95.05608122429112,1.6532641219021753,1.6703258595615624,1.3284250938950573,1.4970606981869787,nan,nan,nan,1600,0.1,nan,nan,nan,nan,nan,nan,nan
1,4,3331,-96.71536829322577,1.591194328508879,1.611211462632606,1.2881612248326604,1.4546572969932305,nan,nan,nan,76,0.1,nan,nan,nan,nan,nan,nan,nan
1,5,4931,-86.12761056458112,1.6367245448590255,1.6551972623355686,1.3102933134452905,1.478384212302044,nan,nan,nan,1600,0.1,nan,nan,nan,nan,nan,nan,nan
1,6,4997,-100.19455498922616,1.6378420541683834,1.6587890282724842,1.3407786721081445,1.5145730353666074,nan,nan,nan,66,0.1,nan,nan,nan,nan,nan,nan,nan
1,7,5063,-102.0468550156802,1.8119449816418416,1.8302950443643513,1.5264146495046038,1.7161915403875438,nan,nan,nan,66,0.1,nan,nan,nan,nan,nan,nan,nan
1,8,6663,-85.18801903259009,1.6820830894703978,1.7004496263153852,1.3499436809809413,1.5227756198588758,nan,nan,nan,1600,0.1,nan,nan,nan,nan,nan,nan,nan
1,9,6792,-126.2130791824311,1.5159253450327141,1.5417541779519977,1.2284684331668903,1.3934061757122824,nan,nan,nan,129,0.1,nan,nan,nan,nan,nan,nan,nan
1,10,6844,-112.40722079388797,1.7356848945984473,1.7583591525371258,1.3734235234845142,1.5588457183195994,nan,nan,nan,52,0.1,nan,nan,nan,nan,nan,nan,nan
