seed,episode,total_steps,reward,nominal_error_avg,residual_error_avg,dhat_norm_avg,uncertainty_avg,res_net_loss,rbf_loss,td_loss_avg,episode_length,expl_noise,buffer_uncert_avg,sampled_uncert_avg,rollout_uncert_avg,rollout_pass_rate,rollout_avg_horizon,rbf_calib_ratio,rbf_calib_corr
2,1,98,-120.81869607046247,1.3260480034716275,1.3599746829392958,1.128388306011959,1.2908281238407504,nan,nan,nan,98,0.1,nan,nan,nan,nan,nan,nan,nan
2,2,170,-116.66377465426922,1.6426443679051266,1.6661099820501275,1.3732426800868578,1.553907406826814,nan,nan,nan,72,0.1,nan,nan,nan,nan,nan,nan,nan
2,3,1770,-77.84068743808893,1.594004170373082,1.617591380821541,1.277609755002195,1.44863022393547,nan,nan,nan,1600,0.1,nan,nan,nan,nan,nan,nan,nan
2,4,3370,-78.07846968213562,1.611849305440919,1.6382948046084493,1.2885561819793656,1.4648504391126336,nan,nan,nan,1600,0.1,nan,nan,nan,nan,nan,nan,nan
2,5,3416,-104.8666727989912,1.9925632570748744,2.010558735417283,1.697855454262184,1.9087450627399527,nan,nan,nan,46,0.1,nan,nan,nan,nan,nan,nan,nan
2,6,3550,-115.69479011092335,1.4158884849010118,1.443519417029708,1.1220539278392472,1.2804952175981963,nan,nan,nan,134,0.1,nan,nan,nan,nan,nan,nan,nan
2,7,3633,-99.27040306199342,1.5794366784842617,1.6081257747957505,1.3025737632829022,1.4808674644993012,nan,nan,nan,83,0.1,nan,nan,nan,nan,nan,nan,nan
2,8,3761,-102.02601893013343,1.5090427902759984,1.5365888148080558,1.2615269276720937,1.4312350691761822,nan,nan,nan,128,0.1,nan,nan,nan,nan,nan,nan,nan
2,9,3840,-100.81023280322552,1.3510760242425943,1.3855139505636842,1.1006021303466604,1.2623199339531646,nan,nan,nan,79,0.1,nan,nan,nan,nan,nan,nan,nan
2,10,3916,-109.84214811492711,1.5730801334506588,1.588205510652379,1.2971722558140755,1.458688902815706,nan,nan,nan,76,0.1,nan,nan,nan,nan,nan,nan,nan
2,11,4004,-100.82615477638319,1.7555696613747964,1.7814427427947521,1.45570652669465,1.6494397724216634,nan,nan,nan,88,0.1,nan,nan,nan,nan,nan,nan,nan
2,12,5604,-78.94850164582022,1.5852262660798442,1.6111891658045352,1.2561647838103818,1.429215949550271,nan,nan,nan,1600,0.1,nan,nan,nan,nan,nan,nan,nan
2,13,5666,-105.27805755869485,1.5923374006825108,1.6195060500214178,1.273460483839435,1.4484710683745723,nan,nan,nan,62,0.1,nan,nan,nan,nan,nan,nan,nan
2,14,5753,-100.3042610490229,1.541982758747435,1.5683722896822567,1.2566184352697998,1.4253875150762756,nan,nan,nan,87,0.1,nan,nan,nan,nan,nan,nan,nan
2,15,7353,-79.55750742659438,1.5640372307883808,1.5896302709449082,1.2359830773901195,1.4048566894978285,nan,nan,nan,1600,0.1,nan,nan,nan,nan,nan,nan,nan
2,16,8953,-99.1254110810114,1.697854464321863,1.7230163039918989,1.3694203701312653,1.5512932311184704,nan,nan,nan,1600,0.1,nan,nan,nan,nan,nan,nan,nan
2,17,9032,-122.15386128984392,1.8496931727173962,1.8744063769714743,1.5595582692494876,1.7633343670941606,nan,nan,nan,79,0.1,nan,nan,nan,nan,nan,nan,nan
2,18,10189,-172.81471459940076,1.3827654495136008,1.424144653881946,1.0798992234408573,1.2480317393483638,nan,nan,11.843569050018528,1157,0.1,nan,nan,nan,nan,nan,nan,nan
2,19,10324,-129.0671345423907,0.2966545859972636,0.7992295361779355,0.20796572501874633,0.7284693758244868,0.3603107247597132,0.6512350369722415,64.74862336618109,135,0.1,1.4363391399383545,1.8295215331591093,2.610596179962158,0.0,1.0,1.8133360147476196,0.13882081887289802
2,20,10514,-133.5604785317555,0.2107792021241039,0.957651431623258,0.21017006712132377,0.9270386840167798,0.15243640433996916,0.6302198553085328,57.829194287877336,190,0.1,1.4270827770233154,1.8231030839681626,2.576364040374756,0.0,1.0,1.8200963735580444,0.12954967155900193
2,21,10554,-122.28715823590755,0.6791848570108414,0.8717080153524875,0.5774879104457795,0.8309290789067745,0.1061084154538992,0.610525912482564,75.46032498180867,40,0.1,1.418046474456787,1.8060913661631142,2.5405821800231934,0.0,1.0,1.7861640453338623,0.11834956792281516
2,22,10599,-115.90904645621777,1.2327754543059402,1.0725220958391826,1.0501247462299135,0.9441358480188582,0.10144552330418331,0.5906673303464564,64.62898778915405,45,0.1,1.4158213138580322,1.8074504177744795,2.5055935382843018,0.0,1.0,1.786579966545105,0.13260662783698424
2,23,10698,-110.90472337417305,0.32284192015849655,1.163427345680468,0.23246468001543874,1.0871241459942826,0.09969968101600321,0.5717501367010721,65.15577710602018,99,0.1,1.4138187170028687,1.8061629789631541,2.470323324203491,0.0,1.0,1.7644938230514526,0.10730387477926065
