seed,episode,total_steps,reward,episode_length,td_loss_avg,model_loss_avg,horizon_length,real_buffer_size,model_buffer_size,q1_avg,q2_avg,target_q_avg
2,1,98,-119.93797282502055,98,nan,nan,0,98,0,nan,nan,nan
2,2,170,-116.4231408238411,72,nan,nan,0,170,0,nan,nan,nan
2,3,1770,-85.58226866775658,1600,nan,nan,0,1770,0,nan,nan,nan
2,4,3370,-79.44925887166755,1600,nan,nan,0,3370,0,nan,nan,nan
2,5,3416,-104.89658225700259,46,nan,nan,0,3416,0,nan,nan,nan
2,6,5016,-81.55155305791413,1600,nan,nan,0,5016,0,nan,nan,nan
2,7,5125,-99.3130612578243,109,nan,nan,0,5125,0,nan,nan,nan
2,8,5225,-100.3933677803725,100,nan,nan,0,5225,0,nan,nan,nan
2,9,6825,-94.80832576355897,1600,nan,nan,0,6825,0,nan,nan,nan
2,10,6885,-116.9799053221941,60,nan,nan,0,6885,0,nan,nan,nan
2,11,7017,-121.67910023627337,132,nan,nan,0,7017,0,nan,nan,nan
2,12,8617,-80.74105122033507,1600,nan,nan,0,8617,0,nan,nan,nan
2,13,10213,-189.0402055066079,1596,8.649032656755299,nan,0,10213,0,-0.16257134729198047,-0.1617753579503014,-0.22010433794487091
2,14,10311,-106.43413499556482,98,94.62469768333766,0.192180874510708,1,10311,15360,-0.7886250033974648,-0.7854010891583231,-1.0940857012238767
2,15,10511,-128.55388006102294,200,93.23684926003217,0.12972050892810028,1,10511,30720,-1.0432532908022403,-1.0511694172024726,-1.3222739331424236
2,16,10611,-102.03606814146042,100,83.75836567401886,0.09402490197643032,1,10611,46080,-1.3044849714636804,-1.3237225276231765,-1.5830444473028182
2,17,10658,-106.25010320730507,47,97.18230010569096,0.08575079747574116,1,10658,61440,-1.8187361806631088,-1.821744802594185,-2.029830884933472
2,18,10722,-101.84254953637719,64,90.48178024291992,0.08383402831670715,1,10722,76800,-2.002493848403295,-2.013167013724645,-2.1743820230166118
2,19,10798,-101.75980147067457,76,85.63263348170689,0.08240833808251513,1,10798,92160,-2.256253319127219,-2.2905402490070887,-2.3987373658588953
2,20,10936,-127.48617934808135,138,61.66762317143954,0.08100229838774317,1,10936,107520,-2.0966506618719833,-2.0918053168516892,-2.2105553338160884
2,21,12536,-131.15083479881287,1600,29.71232110746205,0.0795450109101477,1,12536,122880,-2.2393710467591883,-2.238383943550289,-2.292368020452559
2,22,14136,-139.18367638718337,1600,9.799434933178127,0.07143467619704703,1,14136,138240,-2.315157607430592,-2.3169508772157132,-2.3452237164601684
2,23,15736,-90.57044341322035,1600,5.870793243572116,0.0631010173848181,1,15736,153600,-1.270403499843087,-1.2695474494993686,-1.295077964963857
2,24,16084,-99.72227054159157,348,4.729174474758261,0.0589067169633068,1,16084,168960,-0.5308629380319925,-0.5343590403687867,-0.5563455509131445
2,25,16990,-127.71229571930598,906,5.038339618278874,0.057885517204000106,1,16990,184320,0.3167118910865651,0.3187907157300247,0.2912646358584364
2,26,17059,-116.57182149775326,69,4.204121607542038,0.056031298912083256,1,17059,199680,0.8367380708456039,0.8591338182489078,0.8416463659455379
2,27,17108,-110.90210754610598,49,5.204782323539257,0.05529242179384737,1,17108,215040,1.0877036727964877,1.1157199554145336,1.0536897994577885
2,28,17154,-109.07156560197473,46,6.301195488870144,0.05474000367326568,1,17154,230400,0.8921723185107112,0.9077605955302716,0.8434945724904537
2,29,17204,-111.00911889970303,50,5.5285394525527956,0.05423431387958835,1,17204,245760,1.002066646963358,1.0217019714415074,0.9708804517984391
2,30,17272,-116.81292247772217,68,6.0477554534872375,0.053765698563103655,1,17272,261120,1.2286371146639188,1.2463784548143546,1.2240978909035525
2,31,17336,-116.17507439479232,64,5.9875670306384565,0.053218799658972235,1,17336,276480,1.0789742710689703,1.0866491651783388,1.0717531504730384
2,32,17403,-116.45892495848238,67,7.752542448292176,0.05269867067980529,1,17403,291840,1.1304222467044989,1.1151772238314153,1.1051271160443623
2,33,17469,-116.04849670268595,66,4.774662750462691,0.052209775183183045,1,17469,307200,1.3605422834555307,1.3555940382182599,1.3118260681629181
2,34,17535,-115.80369233898818,66,7.9714583367109295,0.05175969023987943,1,17535,322560,1.4198943249881268,1.4137838777154683,1.3857725570599237
2,35,17595,-114.15043978206813,60,6.144657887518406,0.051268043723322596,1,17595,337920,1.5951247811317444,1.5935493186116219,1.5575839432577292
2,36,17656,-115.09256328456104,61,8.626291764775912,0.050911481576223,1,17656,353280,1.4384247766186793,1.4406915836036205,1.4016489478449026
2,37,17716,-114.16721312329173,60,5.472389860202869,0.05048187249066199,1,17716,368640,1.3815844985346,1.34655803317825,1.3442803256213665
2,38,17780,-115.26992765627801,64,6.295742342124383,0.05011026513389343,1,17780,384000,1.6269063827892145,1.6212938686211904,1.607489205400149
2,39,17858,-117.3521402142942,78,4.048237308859825,0.04973421090322992,1,17858,399360,1.643982037476131,1.6474087047789778,1.623847530569349
2,40,17919,-115.40423923544586,61,6.091417696823677,0.04934832340709253,2,17919,430080,1.860050869733095,1.8547272110978763,1.8295250569780668
2,41,17982,-116.6871292386204,63,6.650380345682303,0.04896070005165206,2,17982,460800,1.7628854694465796,1.7554789813856284,1.7283916068573792
2,42,18040,-114.41602611169219,58,4.818588106334209,0.048602778262325695,2,18040,491520,1.9216289716958999,1.9014844071865082,1.9250448834896088
2,43,18098,-115.05266632698476,58,5.514229655563831,0.04826677567547276,2,18098,522240,1.9300091534852981,1.9302888321876526,1.893589958846569
2,44,18156,-116.11494136415422,58,6.331204490065574,0.04792079264918963,2,18156,552960,2.042444809675217,2.035608559846878,2.002402097582817
2,45,18216,-115.26301193796098,60,6.980947760492564,0.047605728521233515,2,18216,583680,2.008908966432015,1.9979982117811839,1.9584802555541196
2,46,18270,-115.02607269957662,54,5.262678714990616,0.04723439121470205,2,18270,614400,2.0146403872966765,2.0147315722703936,1.9993011939525605
2,47,18325,-115.87612913921475,55,11.929067400991917,0.04692556320081854,2,18325,645120,2.225078672170639,2.2250719052553176,2.17740025639534
2,48,18381,-115.61656643822789,56,7.575473202466965,0.0465797252043592,2,18381,675840,1.8255213928222656,1.844699651002884,1.7947303481400012
2,49,18443,-116.06933329440653,62,11.784925668438275,0.046278937325371264,2,18443,706560,1.9715189317862192,1.97987495859464,1.9102715387940408
2,50,18508,-117.31077179312706,65,6.685940428078174,0.04598341910168528,2,18508,737280,1.9664161985119184,1.9618978023529052,1.9108571221431097
2,51,18566,-115.94041469227523,58,10.326369690895081,0.04573312281734414,2,18566,768000,2.0410782223939896,2.051774218082428,1.9871401941776277
2,52,18626,-115.00123464874923,60,13.788387832045554,0.04542114170337165,2,18626,798720,2.0501468062400816,2.0389703239003816,1.9871365934610368
