seed,episode,total_steps,reward,episode_length,td_loss_avg,model_loss_avg,horizon_length,real_buffer_size,model_buffer_size,q1_avg,q2_avg,target_q_avg
3,1,88,-99.16091541852802,88,nan,nan,0,88,0,nan,nan,nan
3,2,1688,-76.83177960268222,1600,nan,nan,0,1688,0,nan,nan,nan
3,3,1748,-101.96192111540586,60,nan,nan,0,1748,0,nan,nan,nan
3,4,1833,-100.6342010376975,85,nan,nan,0,1833,0,nan,nan,nan
3,5,1915,-115.47865968942642,82,nan,nan,0,1915,0,nan,nan,nan
3,6,2044,-100.75177921447903,129,nan,nan,0,2044,0,nan,nan,nan
3,7,3644,-95.72169640264474,1600,nan,nan,0,3644,0,nan,nan,nan
3,8,3752,-98.27491996064782,108,nan,nan,0,3752,0,nan,nan,nan
3,9,3818,-103.14254142297432,66,nan,nan,0,3818,0,nan,nan,nan
3,10,3913,-100.55647067492828,95,nan,nan,0,3913,0,nan,nan,nan
3,11,4001,-117.17265662178397,88,nan,nan,0,4001,0,nan,nan,nan
3,12,5601,-85.4414638436865,1600,nan,nan,0,5601,0,nan,nan,nan
3,13,5654,-112.8764607924968,53,nan,nan,0,5654,0,nan,nan,nan
3,14,5736,-105.30822565453127,82,nan,nan,0,5736,0,nan,nan,nan
3,15,5826,-100.84065054729581,90,nan,nan,0,5826,0,nan,nan,nan
3,16,5915,-125.43535425513983,89,nan,nan,0,5915,0,nan,nan,nan
3,17,5966,-106.77344544790685,51,nan,nan,0,5966,0,nan,nan,nan
3,18,6032,-104.7224500020966,66,nan,nan,0,6032,0,nan,nan,nan
3,19,7632,-84.69999424088746,1600,nan,nan,0,7632,0,nan,nan,nan
3,20,7717,-112.87789925839752,85,nan,nan,0,7717,0,nan,nan,nan
3,21,7784,-115.20742836780846,67,nan,nan,0,7784,0,nan,nan,nan
3,22,9384,-77.18898292141967,1600,nan,nan,0,9384,0,nan,nan,nan
3,23,9461,-105.38557129632682,77,nan,nan,0,9461,0,nan,nan,nan
3,24,9532,-100.79856835491955,71,nan,nan,0,9532,0,nan,nan,nan
3,25,9615,-104.94231184967794,83,nan,nan,0,9615,0,nan,nan,nan
3,26,11215,-125.15366473793983,1600,17.906433041351008,nan,0,11215,0,-0.26063130662020784,-0.260929343101309,-0.388114208728075
3,27,11394,-127.03376346081495,179,92.62830056526205,0.17840131137722223,1,11394,15360,-1.0919123429585906,-1.1062511558041852,-1.4008663468501148
3,28,11492,-136.39469980075955,98,75.35273726118936,0.12436594542003039,1,11492,30720,-1.270251609881719,-1.2652824997901917,-1.4538003666533363
