seed,episode,total_steps,reward,episode_length,td_loss_avg,model_loss_avg,horizon_length,real_buffer_size,model_buffer_size,q1_avg,q2_avg,target_q_avg
4,1,168,-127.75598721602,168,nan,nan,0,168,0,nan,nan,nan
4,2,1768,-79.68974615656771,1600,nan,nan,0,1768,0,nan,nan,nan
4,3,1837,-100.41751839220524,69,nan,nan,0,1837,0,nan,nan,nan
4,4,1904,-100.46191884367727,67,nan,nan,0,1904,0,nan,nan,nan
4,5,3504,-82.35635857039597,1600,nan,nan,0,3504,0,nan,nan,nan
4,6,3584,-101.39318507816643,80,nan,nan,0,3584,0,nan,nan,nan
4,7,3692,-119.86752182617784,108,nan,nan,0,3692,0,nan,nan,nan
4,8,3775,-113.02963149826974,83,nan,nan,0,3775,0,nan,nan,nan
4,9,3834,-114.5396513948217,59,nan,nan,0,3834,0,nan,nan,nan
4,10,3944,-117.22957471199334,110,nan,nan,0,3944,0,nan,nan,nan
4,11,4007,-101.77715124096721,63,nan,nan,0,4007,0,nan,nan,nan
4,12,4080,-103.73999618086964,73,nan,nan,0,4080,0,nan,nan,nan
4,13,4179,-121.25496356375515,99,nan,nan,0,4179,0,nan,nan,nan
4,14,5779,-88.02977999520954,1600,nan,nan,0,5779,0,nan,nan,nan
4,15,7379,-79.42311950039584,1600,nan,nan,0,7379,0,nan,nan,nan
4,16,7443,-112.88519654236734,64,nan,nan,0,7443,0,nan,nan,nan
4,17,7518,-99.27138383872807,75,nan,nan,0,7518,0,nan,nan,nan
4,18,7702,-123.2001303578727,184,nan,nan,0,7702,0,nan,nan,nan
4,19,9146,-198.4824479224626,1444,nan,nan,0,9146,0,nan,nan,nan
4,20,10196,-174.69325292506255,1050,12.61332093671197,nan,0,10196,0,-0.1531323222629726,-0.15490532835014165,-0.2248641351237893
4,21,10237,-122.9719310849905,41,151.497081784904,0.19723221382014772,1,10237,15360,-1.0708636414143258,-1.0369426948949694,-1.6516224965453148
4,22,10326,-111.60573494806886,89,155.16737549304963,0.13612345257121275,1,10326,30720,-1.4716820508241653,-1.4721019119024277,-1.8333227284252644
4,23,10479,-128.10748909134418,153,158.84565700531004,0.09982871713737647,1,10479,46080,-1.9163441189130148,-1.9204024831453959,-2.218342362244924
