seed,episode,total_steps,reward,episode_length,td_loss_avg,model_loss_avg,horizon_length,real_buffer_size,model_buffer_size,q1_avg,q2_avg,target_q_avg,model_pred_error_avg,model_err_hull_angle,model_err_hull_angvel,model_err_vel_x,model_err_vel_y,model_err_hip1_angle,model_err_hip1_speed,model_err_knee1_angle,model_err_knee1_speed,model_err_left_contact,model_err_hip2_angle,model_err_hip2_speed,model_err_knee2_angle,model_err_knee2_speed,model_err_right_contact
2,1,98,-119.97200886532664,98,nan,nan,0,98,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,2,170,-116.4265509173274,72,nan,nan,0,170,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,3,1770,-78.36595011793543,1600,nan,nan,0,1770,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,4,3370,-80.0104235955514,1600,nan,nan,0,3370,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,5,3416,-105.15424276515841,46,nan,nan,0,3416,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,6,3563,-119.24040163028985,147,nan,nan,0,3563,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,7,3613,-109.1666829129681,50,nan,nan,0,3613,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,8,5213,-80.23200062839896,1600,nan,nan,0,5213,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,9,6813,-90.26540268887766,1600,nan,nan,0,6813,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,10,6885,-116.72572558559477,72,nan,nan,0,6885,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,11,7013,-121.17888718191534,128,nan,nan,0,7013,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,12,7092,-107.85390379745513,79,nan,nan,0,7092,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,13,7153,-101.68870605994016,61,nan,nan,0,7153,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,14,8753,-76.95703666773625,1600,nan,nan,0,8753,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,15,8845,-100.32012711558491,92,nan,nan,0,8845,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,16,8929,-105.15425823163241,84,nan,nan,0,8929,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,17,9013,-99.73966053500772,84,nan,nan,0,9013,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,18,10205,-168.11021354072727,1192,12.734860317058684,nan,0,10205,0,-0.1936478327782381,-0.19384066356079918,-0.2696530151580061,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,19,10271,-111.72446398250759,66,121.31926409679775,0.19162566610890577,1,10271,15360,-1.0540593472619852,-1.0438335026303927,-1.3935103577872117,0.7948386128803695,0.03599505126476288,0.019075624644756317,0.0248058270663023,0.0223486740142107,0.03743259608745575,0.11078260838985443,0.08089026808738708,0.4461543560028076,0.06996680796146393,0.07379941642284393,0.09665697813034058,0.05110934376716614,0.3926118314266205,0.24604704976081848
2,20,10350,-101.82638563658111,79,110.85028000431402,0.13024463495860497,1,10350,30720,-1.0534956463745662,-1.0636011498314994,-1.3932807707360813,0.7002116815827568,0.02317902073264122,0.018791990354657173,0.02076224610209465,0.02276134118437767,0.04875747114419937,0.11765606701374054,0.06039319559931755,0.33880195021629333,0.12419202923774719,0.05478813126683235,0.14745880663394928,0.06698483973741531,0.3491959869861603,0.2065342217683792
2,21,10406,-97.78997790347785,56,143.3926598739624,0.09546114372710388,1,10406,46080,-1.4021493232250213,-1.3541219234466553,-1.8369028532505036,0.7953739338332699,0.02548043243587017,0.016983602195978165,0.019792404025793076,0.032579582184553146,0.04429380223155022,0.18928579986095428,0.05676064267754555,0.24140217900276184,0.2551247775554657,0.0465565025806427,0.19526492059230804,0.06854627281427383,0.435494989156723,0.2512780725955963
2,22,10510,-102.34365169191733,104,131.41195556640625,0.08693847527106603,1,10510,61440,-1.6017681431770325,-1.5679657030105592,-1.895832514166832,0.6520057384593365,0.0289847981184721,0.018420003354549408,0.01232823170721531,0.021310020238161087,0.029085708782076836,0.0737394243478775,0.0441100150346756,0.30507582426071167,0.22835005819797516,0.030596327036619186,0.16062681376934052,0.04142392426729202,0.29905328154563904,0.26102694869041443
2,23,10605,-111.1181093165651,95,128.54124410417344,0.08456498283923157,1,10605,76800,-1.9698836194144356,-1.9156644490030077,-2.18357496658961,0.9030129385621927,0.039696890860795975,0.011982289142906666,0.013270982541143894,0.0161321759223938,0.0441456101834774,0.15508846938610077,0.06334798038005829,0.44251760840415955,0.22884902358055115,0.050930168479681015,0.24868375062942505,0.08440808951854706,0.5053995847702026,0.25931793451309204
2,24,10647,-111.86697259545326,42,131.5732053756714,0.08311036493235487,1,10647,92160,-2.2483507215976717,-2.179964065551758,-2.4866597801446915,0.9769774824380875,0.03539532050490379,0.0160977765917778,0.01788470894098282,0.025788137689232826,0.07050563395023346,0.21364037692546844,0.07130125910043716,0.32002729177474976,0.1692516803741455,0.06456051021814346,0.3105316162109375,0.09867359697818756,0.587448000907898,0.30223461985588074
2,25,10701,-100.04279110021889,54,117.26061950683594,0.08196047818273064,1,10701,107520,-2.3088972091674806,-2.2653205752372743,-2.4398091673851012,0.900181711639887,0.03613138571381569,0.01965111307799816,0.01680506393313408,0.024887608364224434,0.05718762427568436,0.2174098640680313,0.06529465317726135,0.4278527796268463,0.22632001340389252,0.042790912091732025,0.2224440574645996,0.07839208841323853,0.43408849835395813,0.26447397470474243
2,26,10819,-111.9844436988933,118,100.61763076348738,0.08089243053663067,1,10819,122880,-2.325554136796431,-2.3056408166885376,-2.5057718103582207,0.9521145909856267,0.016444969922304153,0.019198795780539513,0.015703391283750534,0.020162345841526985,0.04841647669672966,0.24050778150558472,0.07275794446468353,0.5034384727478027,0.2196173518896103,0.038586199283599854,0.18939699232578278,0.06687969714403152,0.48963865637779236,0.27422869205474854
2,27,10941,-105.7919058976695,122,102.8537871837616,0.07986243626191503,1,10941,138240,-2.8593304614226023,-2.843763997157415,-2.9369871735572817,0.9571290312568999,0.01596330851316452,0.014139936305582523,0.016825035214424133,0.02075364626944065,0.04769791290163994,0.25153568387031555,0.08531893044710159,0.5636438727378845,0.25921398401260376,0.037877269089221954,0.22578589618206024,0.05359845981001854,0.35502201318740845,0.24074575304985046
2,28,10991,-109.27224921807647,50,86.24562236785889,0.07901056204286833,1,10991,153600,-2.8847746205329896,-2.8851552295684812,-2.9869987106323244,0.9324571847915649,0.038542475551366806,0.016752200201153755,0.021886998787522316,0.02941160462796688,0.0526895634829998,0.18027263879776,0.1051238551735878,0.4572683274745941,0.2004852145910263,0.05596034973859787,0.22072406113147736,0.08746341615915298,0.5241699814796448,0.27825605869293213
