seed,episode,total_steps,reward,nominal_error_avg,residual_error_avg,dhat_norm_avg,uncertainty_avg,res_net_loss,rbf_loss,td_loss_avg,episode_length,expl_noise,buffer_uncert_avg,sampled_uncert_avg,rollout_uncert_avg,rollout_pass_rate,rollout_avg_horizon,rbf_calib_ratio,rbf_calib_corr
2,1,99,-120.31386614963412,1.339446733696292,1.3745906783474817,1.14676934533348,1.311173059723594,nan,nan,nan,99,0.1,nan,nan,nan,nan,nan,nan,nan
2,2,211,-121.91210997395683,1.5774463594758086,1.6034513344722134,1.2996053941813963,1.4740380819088645,nan,nan,nan,112,0.1,nan,nan,nan,nan,nan,nan,nan
2,3,275,-100.15125268884003,1.5421294157858938,1.565919168293476,1.25467797415331,1.4206399556715041,nan,nan,nan,64,0.1,nan,nan,nan,nan,nan,nan,nan
2,4,1875,-76.79075062993797,1.661150421189377,1.686974776601419,1.3422277133981697,1.5212386550940573,nan,nan,nan,1600,0.1,nan,nan,nan,nan,nan,nan,nan
2,5,2025,-118.49771807459183,1.2084591211378575,1.2413919772704443,0.9994702155391375,1.1471514212091765,nan,nan,nan,150,0.1,nan,nan,nan,nan,nan,nan,nan
2,6,2091,-103.2824391645845,1.6532715360323589,1.6796049328916,1.3641926739082644,1.5493924694530892,nan,nan,nan,66,0.1,nan,nan,nan,nan,nan,nan,nan
2,7,2144,-106.07084568031132,1.831059734495181,1.852323001848077,1.5162103519124805,1.7091814690041092,nan,nan,nan,53,0.1,nan,nan,nan,nan,nan,nan,nan
2,8,2218,-104.43513823859394,1.5818502057243038,1.6056969077200502,1.2977964414938077,1.4708132945202492,nan,nan,nan,74,0.1,nan,nan,nan,nan,nan,nan,nan
2,9,3818,-94.14484985580202,1.6536592363091769,1.679880222985521,1.3259412897843867,1.5048405738081783,nan,nan,nan,1600,0.1,nan,nan,nan,nan,nan,nan,nan
2,10,3977,-105.03714840766042,1.33249786561765,1.3590272447598055,1.0398890874202147,1.184766688155678,nan,nan,nan,159,0.1,nan,nan,nan,nan,nan,nan,nan
