seed,episode,total_steps,reward,nominal_error_avg,residual_error_avg,dhat_norm_avg,uncertainty_avg,res_net_loss,contact_net_loss,rbf_loss,td_loss_avg,episode_length,expl_noise,buffer_uncert_avg,sampled_uncert_avg,rollout_uncert_avg,rollout_pass_rate,rollout_avg_horizon,rbf_calib_ratio,rbf_calib_corr,nom_err_hull_angle,nom_err_hull_angvel,nom_err_vel_x,nom_err_vel_y,nom_err_hip1_angle,nom_err_hip1_speed,nom_err_knee1_angle,nom_err_knee1_speed,nom_err_left_contact,nom_err_hip2_angle,nom_err_hip2_speed,nom_err_knee2_angle,nom_err_knee2_speed,nom_err_right_contact,res_err_hull_angle,res_err_hull_angvel,res_err_vel_x,res_err_vel_y,res_err_hip1_angle,res_err_hip1_speed,res_err_knee1_angle,res_err_knee1_speed,res_err_left_contact,res_err_hip2_angle,res_err_hip2_speed,res_err_knee2_angle,res_err_knee2_speed,res_err_right_contact,contact_err_left,contact_err_right
3,1,90,-99.43479335680604,1.673554227915075,1.7001086357567046,1.3603452720575862,1.541864007876979,nan,nan,nan,nan,90,0.1,nan,nan,nan,nan,nan,nan,nan,0.026365241035819054,0.021983519196510315,0.020174255594611168,0.020710086449980736,0.048703357577323914,0.587885320186615,0.09282953292131424,0.763157308101654,0.30000001192092896,0.04473520442843437,0.4316273629665375,0.08361099660396576,0.6950251460075378,0.1666666716337204,0.026365241035819054,0.023342471569776535,0.030705872923135757,0.15377332270145416,0.048703357577323914,0.5897538661956787,0.09282953292131424,0.7799666523933411,0.30000001192092896,0.04473520442843437,0.46806633472442627,0.08361099660396576,0.7191418409347534,0.1666666716337204,0.5014857649803162,0.5132774114608765
3,2,1690,-72.57986088073812,1.5980998809600715,1.6261539106070995,1.2749594608519692,1.449819171940908,nan,nan,nan,nan,1600,0.1,nan,nan,nan,nan,nan,nan,nan,0.010654236190021038,0.01809796318411827,0.012940614484250546,0.013599569909274578,0.018070857971906662,0.26719313859939575,0.08083533495664597,0.6971577405929565,0.28562501072883606,0.029693927615880966,0.4554646611213684,0.07242268323898315,0.7760413885116577,0.20874999463558197,0.010654236190021038,0.026467330753803253,0.033515047281980515,0.1397770345211029,0.018070857971906662,0.2770004868507385,0.08083533495664597,0.7144489288330078,0.28562501072883606,0.029693927615880966,0.5148123502731323,0.07242268323898315,0.7944023609161377,0.20874999463558197,0.500176191329956,0.49193695187568665
3,3,1768,-100.53774241171777,1.6130340137542822,1.649804521829654,1.342400830430098,1.5355631651786656,nan,nan,nan,nan,78,0.1,nan,nan,nan,nan,nan,nan,nan,0.025591131299734116,0.02342316508293152,0.0234695952385664,0.025349123403429985,0.048070210963487625,0.5297022461891174,0.10061513632535934,0.7103152275085449,0.19230769574642181,0.044149480760097504,0.4949149489402771,0.09666778147220612,0.6843324303627014,0.11538461595773697,0.025591131299734116,0.023318780586123466,0.03137829527258873,0.15060514211654663,0.048070210963487625,0.5335301756858826,0.10061513632535934,0.7376947402954102,0.19230769574642181,0.044149480760097504,0.5294329524040222,0.09666778147220612,0.7153722643852234,0.11538461595773697,0.5023990273475647,0.5098004937171936
3,4,1844,-99.91542175412178,1.5327190439167775,1.5593500509858131,1.213234657617776,1.3794782298960184,nan,nan,nan,nan,76,0.1,nan,nan,nan,nan,nan,nan,nan,0.03393954038619995,0.021588698029518127,0.021210268139839172,0.020499028265476227,0.045922812074422836,0.45461010932922363,0.09761927276849747,0.6330673694610596,0.22368420660495758,0.040663380175828934,0.4210571348667145,0.08240741491317749,0.5993265509605408,0.17105263471603394,0.03393954038619995,0.02305101975798607,0.03166480362415314,0.14910273253917694,0.045922812074422836,0.45924869179725647,0.09761927276849747,0.6534152626991272,0.22368420660495758,0.040663380175828934,0.45128193497657776,0.08240741491317749,0.6272303462028503,0.17105263471603394,0.5007925629615784,0.5088963508605957
3,5,1928,-115.91504123061895,1.5758807545616513,1.607969849946953,1.3320340455642767,1.5179600438901357,nan,nan,nan,nan,84,0.1,nan,nan,nan,nan,nan,nan,nan,0.02577643096446991,0.020152518525719643,0.013539823703467846,0.019098935648798943,0.043600231409072876,0.5561898350715637,0.10250871628522873,0.8669537901878357,0.1071428582072258,0.03951341658830643,0.4322132468223572,0.06086054444313049,0.45226070284843445,0.130952388048172,0.02577643096446991,0.023193687200546265,0.027711961418390274,0.15876735746860504,0.043600231409072876,0.5593194961547852,0.10250871628522873,0.8813509345054626,0.1071428582072258,0.03951341658830643,0.4700925350189209,0.06086054444313049,0.48512735962867737,0.130952388048172,0.5035535097122192,0.49946197867393494
3,6,2074,-101.60202328767627,1.4233489059524176,1.4550703489413,1.1139951318196237,1.2753942684359747,nan,nan,nan,nan,146,0.1,nan,nan,nan,nan,nan,nan,nan,0.026654306799173355,0.02212023362517357,0.01751270890235901,0.01624280959367752,0.03987688198685646,0.4490774869918823,0.05764148756861687,0.543147623538971,0.267123281955719,0.037377990782260895,0.4115011990070343,0.05275414139032364,0.5609136819839478,0.19863013923168182,0.026654306799173355,0.023138361051678658,0.02785906381905079,0.14551423490047455,0.03987688198685646,0.4518476128578186,0.05764148756861687,0.5604597926139832,0.267123281955719,0.037377990782260895,0.44294169545173645,0.05275414139032364,0.5957707166671753,0.19863013923168182,0.5001418590545654,0.49799269437789917
3,7,2148,-101.62306191492826,1.687578027715554,1.7058076677290168,1.3757139057223056,1.5495581526208568,nan,nan,nan,nan,74,0.1,nan,nan,nan,nan,nan,nan,nan,0.04181348904967308,0.021941788494586945,0.016432873904705048,0.020417841151356697,0.05194179341197014,0.470517635345459,0.10561810433864594,0.7478299736976624,0.14864864945411682,0.03808839991688728,0.38647711277008057,0.09115549176931381,0.8063398003578186,0.28378379344940186,0.04181348904967308,0.02688233181834221,0.029347313567996025,0.14186318218708038,0.05194179341197014,0.4766558110713959,0.10561810433864594,0.762096643447876,0.14864864945411682,0.03808839991688728,0.4190634787082672,0.09115549176931381,0.8219071626663208,0.28378379344940186,0.5009079575538635,0.4993188679218292
3,8,3748,-81.4454482817091,1.60659869553725,1.6342414031550287,1.2787805720011238,1.4540878957416863,nan,nan,nan,nan,1600,0.1,nan,nan,nan,nan,nan,nan,nan,0.010522990487515926,0.01896260306239128,0.013410684652626514,0.01311835739761591,0.01873488537967205,0.28128382563591003,0.07993562519550323,0.7151657938957214,0.27562499046325684,0.02779320999979973,0.4328526556491852,0.07149709016084671,0.7673782110214233,0.23250000178813934,0.010522990487515926,0.025666484609246254,0.03419720381498337,0.13909946382045746,0.01873488537967205,0.29181161522865295,0.07993562519550323,0.7333686947822571,0.27562499046325684,0.02779320999979973,0.49444130063056946,0.07149709016084671,0.7820026278495789,0.23250000178813934,0.5003707408905029,0.49210888147354126
3,9,5348,-89.28945859798114,1.6556536506931296,1.6803333742823452,1.3331158019439318,1.5103745713457466,nan,nan,nan,nan,1600,0.1,nan,nan,nan,nan,nan,nan,nan,0.012028273195028305,0.019479352980852127,0.013852005824446678,0.013626805506646633,0.03139331936836243,0.466913104057312,0.07822342962026596,0.8114368319511414,0.22750000655651093,0.02313791960477829,0.3499762713909149,0.08189184218645096,0.7112746238708496,0.2618750035762787,0.012028273195028305,0.023123865947127342,0.0225115567445755,0.1467055082321167,0.03139331936836243,0.4719090759754181,0.07822342962026596,0.821481466293335,0.22750000655651093,0.02313791960477829,0.39631950855255127,0.08189184218645096,0.7326575517654419,0.2618750035762787,0.5004624724388123,0.49687960743904114
3,10,5427,-99.67102032713592,1.6790086422351342,1.7101331247559077,1.3806227577638022,1.569880656426466,nan,nan,nan,nan,79,0.1,nan,nan,nan,nan,nan,nan,nan,0.03390158340334892,0.019193021580576897,0.01874418370425701,0.022654227912425995,0.05298151075839996,0.5380335450172424,0.09406504780054092,0.784687340259552,0.2405063360929489,0.04703763127326965,0.3913699984550476,0.09336486458778381,0.6907380223274231,0.13924050331115723,0.03390158340334892,0.024108661338686943,0.027482105419039726,0.15412192046642303,0.05298151075839996,0.5428393483161926,0.09406504780054092,0.7967121005058289,0.2405063360929489,0.04703763127326965,0.43909040093421936,0.09336486458778381,0.7280210852622986,0.13924050331115723,0.5018563866615295,0.514172375202179
3,11,7027,-97.09318266552873,1.6296569993073353,1.6550942086335272,1.2996509292011615,1.4755430555902422,nan,nan,nan,nan,1600,0.1,nan,nan,nan,nan,nan,nan,nan,0.01167381089180708,0.019419671967625618,0.0144168920814991,0.013815116137266159,0.02983926050364971,0.45087477564811707,0.07559482753276825,0.7631680369377136,0.23499999940395355,0.02303665317595005,0.34134742617607117,0.08027229458093643,0.7064175605773926,0.2668749988079071,0.01167381089180708,0.022831620648503304,0.023657698184251785,0.14541760087013245,0.02983926050364971,0.45683711767196655,0.07559482753276825,0.7753852605819702,0.23499999940395355,0.02303665317595005,0.3869360089302063,0.08027229458093643,0.7302636504173279,0.2668749988079071,0.5005185008049011,0.4957244396209717
3,12,8627,-84.796060709632,1.6651922433444997,1.6872449415456503,1.345355553419795,1.5206810988020152,nan,nan,nan,nan,1600,0.1,nan,nan,nan,nan,nan,nan,nan,0.01124850194901228,0.019787734374403954,0.01335449330508709,0.013243217021226883,0.03063218668103218,0.4755285680294037,0.07624634355306625,0.8349478244781494,0.2212499976158142,0.02086239494383335,0.311845600605011,0.08074411749839783,0.7113616466522217,0.26249998807907104,0.01124850194901228,0.022820303216576576,0.023186666890978813,0.14470814168453217,0.03063218668103218,0.4809643626213074,0.07624634355306625,0.8429725766181946,0.2212499976158142,0.02086239494383335,0.36023858189582825,0.08074411749839783,0.7316505908966064,0.26249998807907104,0.5006070137023926,0.49366334080696106
3,13,8702,-115.32871509343386,1.9051478423674901,1.93714717566967,1.6329158147921166,1.8522045511007308,nan,nan,nan,nan,75,0.1,nan,nan,nan,nan,nan,nan,nan,0.019378753378987312,0.022367287427186966,0.012895960360765457,0.026569455862045288,0.05423746258020401,0.6513877511024475,0.12348220497369766,1.0264354944229126,0.013333333656191826,0.05201609060168266,0.4845119118690491,0.10917091369628906,0.7790314555168152,0.25333333015441895,0.019378753378987312,0.02705398015677929,0.024816906079649925,0.15037453174591064,0.05423746258020401,0.6572316288948059,0.12348220497369766,1.0575761795043945,0.013333333656191826,0.05201609060168266,0.5107583999633789,0.10917091369628906,0.7842170596122742,0.25333333015441895,0.504438579082489,0.5017308592796326
3,14,8766,-116.53952135611326,1.6431476774159819,1.6790845058858395,1.3274931160267442,1.515529464930296,nan,nan,nan,nan,64,0.1,nan,nan,nan,nan,nan,nan,nan,0.03970443829894066,0.025458497926592827,0.014004659838974476,0.023177310824394226,0.056342922151088715,0.41158002614974976,0.10110975056886673,0.6215119957923889,0.296875,0.045298945158720016,0.49252834916114807,0.10433484613895416,0.8162473440170288,0.140625,0.03970443829894066,0.023546995595097542,0.0273002777248621,0.15404267609119415,0.056342922151088715,0.417611300945282,0.10110975056886673,0.6526406407356262,0.296875,0.045298945158720016,0.5488461256027222,0.10433484613895416,0.8464332222938538,0.140625,0.5021447539329529,0.5115635395050049
3,15,8823,-111.39159417105839,1.8222346713668423,1.8535181393748836,1.5636693158170634,1.772405877447965,nan,nan,nan,nan,57,0.1,nan,nan,nan,nan,nan,nan,nan,0.02132810652256012,0.02101447619497776,0.016216956079006195,0.024983927607536316,0.044496890157461166,0.5090441703796387,0.11671405285596848,0.9033997058868408,0.12280701845884323,0.06209193542599678,0.5540969371795654,0.11429354548454285,0.8632007837295532,0.08771929889917374,0.02132810652256012,0.02792266756296158,0.030270736664533615,0.15031227469444275,0.044496890157461166,0.5138485431671143,0.11671405285596848,0.9241315126419067,0.12280701845884323,0.06209193542599678,0.5882176756858826,0.11429354548454285,0.883991003036499,0.08771929889917374,0.5027251243591309,0.5000191330909729
3,16,8912,-98.75585775682703,1.4732415973303024,1.5046460745709667,1.2217827568646897,1.3894214975030235,nan,nan,nan,nan,89,0.1,nan,nan,nan,nan,nan,nan,nan,0.03274853900074959,0.0225966889411211,0.01821812056005001,0.017975185066461563,0.04727241396903992,0.453020840883255,0.08140040189027786,0.6245265603065491,0.1910112351179123,0.04555845260620117,0.5160015225410461,0.07236338406801224,0.651837944984436,0.10112359374761581,0.03274853900074959,0.024791361764073372,0.029581289738416672,0.1493416428565979,0.04727241396903992,0.4571346342563629,0.08140040189027786,0.6433121562004089,0.1910112351179123,0.04555845260620117,0.5288117527961731,0.07236338406801224,0.6763197779655457,0.10112359374761581,0.500438392162323,0.505695104598999
