seed,episode,total_steps,reward,nominal_error_avg,residual_error_avg,dhat_norm_avg,uncertainty_avg,res_net_loss,rbf_loss,td_loss_avg,episode_length,expl_noise,buffer_uncert_avg,sampled_uncert_avg,rollout_uncert_avg,rollout_pass_rate,rollout_avg_horizon,rbf_calib_ratio,rbf_calib_corr,nom_err_hull_angle,nom_err_hull_angvel,nom_err_vel_x,nom_err_vel_y,nom_err_hip1_angle,nom_err_hip1_speed,nom_err_knee1_angle,nom_err_knee1_speed,nom_err_hip2_angle,nom_err_hip2_speed,nom_err_knee2_angle,nom_err_knee2_speed,res_err_hull_angle,res_err_hull_angvel,res_err_vel_x,res_err_vel_y,res_err_hip1_angle,res_err_hip1_speed,res_err_knee1_angle,res_err_knee1_speed,res_err_hip2_angle,res_err_hip2_speed,res_err_knee2_angle,res_err_knee2_speed
2,1,98,-120.32234564423561,1.2664963184874884,1.3212898857131297,1.1267818651941357,1.3096359703613787,nan,nan,nan,98,0.1,nan,nan,nan,nan,nan,nan,nan,0.02652546390891075,0.020132845267653465,0.016009163111448288,0.018003521487116814,0.042951423674821854,0.4364033043384552,0.08827091753482819,0.6511446237564087,0.03546842560172081,0.39193305373191833,0.051824890077114105,0.4730953276157379,0.02652546390891075,0.1072373315691948,0.1173977255821228,0.047050174325704575,0.042951423674821854,0.4446379244327545,0.08827091753482819,0.6806961297988892,0.03546842560172081,0.4022494852542877,0.051824890077114105,0.5473533272743225
2,2,170,-116.84277169406414,1.5439941423634689,1.5840556675361261,1.3731917415021195,1.5683686735315456,nan,nan,nan,72,0.1,nan,nan,nan,nan,nan,nan,nan,0.031126579269766808,0.021421542391180992,0.014066260308027267,0.02223547361791134,0.04331042990088463,0.47632476687431335,0.08417953550815582,0.7002386450767517,0.05034869909286499,0.5425363183021545,0.10470794141292572,0.774548351764679,0.031126579269766808,0.11803540587425232,0.10464057326316833,0.04358944669365883,0.04331042990088463,0.48668500781059265,0.08417953550815582,0.726340651512146,0.05034869909286499,0.5639147758483887,0.10470794141292572,0.8223385214805603
2,3,1770,-82.64825264224783,1.4053389265091392,1.4419946993887425,1.2572164409060498,1.4346061200927942,nan,nan,nan,1600,0.1,nan,nan,nan,nan,nan,nan,nan,0.011356201022863388,0.018652599304914474,0.01387060061097145,0.013589237816631794,0.01953313685953617,0.29410040378570557,0.07554631680250168,0.6524955034255981,0.03143014386296272,0.46784111857414246,0.07185638695955276,0.7540217041969299,0.011356201022863388,0.1197396069765091,0.10579711198806763,0.05787103623151779,0.01953313685953617,0.31019333004951477,0.07554631680250168,0.6835119724273682,0.03143014386296272,0.4836456775665283,0.07185638695955276,0.7946782112121582
2,4,3370,-75.01408180757426,1.4609543578675948,1.4983080371655524,1.3064187464292627,1.4902441442757846,nan,nan,nan,1600,0.1,nan,nan,nan,nan,nan,nan,nan,0.010814721696078777,0.019107047468423843,0.013518753461539745,0.014027091674506664,0.019190486520528793,0.2959684431552887,0.08270560204982758,0.719684898853302,0.030772985890507698,0.45389270782470703,0.0760544016957283,0.7870398759841919,0.010814721696078777,0.11987505853176117,0.10680180788040161,0.059398528188467026,0.019190486520528793,0.3132653534412384,0.08270560204982758,0.7552651762962341,0.030772985890507698,0.47274962067604065,0.0760544016957283,0.8230116963386536
2,5,3415,-104.78015204891562,1.890116537279553,1.918185081746843,1.6830074492428038,1.8979324827591577,nan,nan,nan,45,0.1,nan,nan,nan,nan,nan,nan,nan,0.02691466361284256,0.023171745240688324,0.021933691576123238,0.024616073817014694,0.059741925448179245,0.5903986692428589,0.1355389803647995,1.1414403915405273,0.05660700425505638,0.6186560392379761,0.10276712477207184,0.7087552547454834,0.02691466361284256,0.11645462363958359,0.12016209214925766,0.052481409162282944,0.059741925448179245,0.6004621982574463,0.1355389803647995,1.1837730407714844,0.05660700425505638,0.6088366508483887,0.10276712477207184,0.7369096279144287
2,6,3547,-119.20046781841666,1.2512006441865005,1.2962060025469824,1.1141681767943683,1.2846611253917217,nan,nan,nan,132,0.1,nan,nan,nan,nan,nan,nan,nan,0.02290426380932331,0.021249394863843918,0.0136278560385108,0.01951739564538002,0.042241256684064865,0.4140327572822571,0.06712044775485992,0.5357418060302734,0.0442095547914505,0.4431481659412384,0.07140539586544037,0.5819077491760254,0.02290426380932331,0.10781559348106384,0.11727079749107361,0.046647898852825165,0.042241256684064865,0.4254912734031677,0.06712044775485992,0.5671675205230713,0.0442095547914505,0.4565615653991699,0.07140539586544037,0.6295754313468933
2,7,3612,-111.41801766399294,1.4865228405365578,1.5169567805070143,1.325895577783768,1.5043869169858786,nan,nan,nan,65,0.1,nan,nan,nan,nan,nan,nan,nan,0.019873853772878647,0.021037258207798004,0.016243826597929,0.022687874734401703,0.042499277740716934,0.49169376492500305,0.07452280074357986,0.5834311246871948,0.0526626892387867,0.5407766103744507,0.09681283682584763,0.7823641300201416,0.019873853772878647,0.09978483617305756,0.12551943957805634,0.04949954152107239,0.042499277740716934,0.4957613945007324,0.07452280074357986,0.6110133528709412,0.0526626892387867,0.5412589907646179,0.09681283682584763,0.8288163542747498
2,8,5212,-81.55923264560988,1.4081151829959708,1.4476691292505712,1.2591139442520216,1.4400425443332643,nan,nan,nan,1600,0.1,nan,nan,nan,nan,nan,nan,nan,0.010464830324053764,0.018384896218776703,0.0130518339574337,0.013745800592005253,0.0187796913087368,0.2887945771217346,0.0845625028014183,0.7223336100578308,0.02741117775440216,0.41455161571502686,0.06863658130168915,0.739941418170929,0.010464830324053764,0.12003473937511444,0.10645921528339386,0.05967916175723076,0.0187796913087368,0.30555832386016846,0.0845625028014183,0.7549079656600952,0.02741117775440216,0.43774810433387756,0.06863658130168915,0.7786493897438049
2,9,5280,-98.64601232437417,1.580682630157646,1.6160133292569834,1.4081621284541839,1.601283781668719,nan,nan,nan,68,0.1,nan,nan,nan,nan,nan,nan,nan,0.02384030446410179,0.024215083569288254,0.02183651551604271,0.019686391577124596,0.05240780487656593,0.5935091972351074,0.10594305396080017,0.7921743988990784,0.04347828030586243,0.5151991844177246,0.0765034556388855,0.6149494647979736,0.02384030446410179,0.10784067958593369,0.1169484332203865,0.0420323982834816,0.05240780487656593,0.608676552772522,0.10594305396080017,0.8206525444984436,0.04347828030586243,0.5078468322753906,0.0765034556388855,0.672146737575531
2,10,5344,-104.84574524802156,1.3688327302224934,1.4093529609963298,1.2164213366340846,1.3937951386906207,nan,nan,nan,64,0.1,nan,nan,nan,nan,nan,nan,nan,0.024054259061813354,0.02095428854227066,0.017175812274217606,0.021359369158744812,0.04241251200437546,0.42996692657470703,0.08110801875591278,0.6840259432792664,0.045900993049144745,0.4163576364517212,0.07688773423433304,0.6159839034080505,0.024054259061813354,0.1018035039305687,0.12717528641223907,0.04764308035373688,0.04241251200437546,0.4452989995479584,0.08110801875591278,0.7033434510231018,0.045900993049144745,0.4246891140937805,0.07688773423433304,0.6574106216430664
