seed,episode,total_steps,reward,nominal_error_avg,residual_error_avg,dhat_norm_avg,uncertainty_avg,res_net_loss,rbf_loss,td_loss_avg,episode_length,expl_noise,buffer_uncert_avg,sampled_uncert_avg
1,1,55,-102.82765558175743,2.0024480413306844,2.0109244574200025,1.7020530844276602,1.900291857394305,nan,nan,nan,55,0.1,nan,nan
1,2,1655,-89.05764990957687,1.6065994108305313,1.6108432415639982,1.2842876857920782,1.4311724955402314,nan,nan,nan,1600,0.1,nan,nan
1,3,3255,-91.65001508954447,1.640972344056936,1.6485222816839815,1.3159756961133098,1.4714517136057839,nan,nan,nan,1600,0.1,nan,nan
1,4,3330,-96.692831851542,1.6138175086180369,1.6101706548531851,1.3125702667236328,1.4550427957375844,nan,nan,nan,75,0.1,nan,nan
1,5,4930,-77.27045125816949,1.6286071259115125,1.6371098625613376,1.3024277625908143,1.4579948528157547,nan,nan,nan,1600,0.1,nan,nan
1,6,5037,-99.15381572395563,1.5229520039441429,1.531473398069355,1.2297842319462902,1.3762968479194373,nan,nan,nan,107,0.1,nan,nan
1,7,5107,-100.5101657146588,1.6282360881567002,1.6322756912027085,1.2928279480763845,1.4424958969865527,nan,nan,nan,70,0.1,nan,nan
1,8,5212,-109.69179602805525,1.8361933577628362,1.8390786327066875,1.5270351587306885,1.6989704810437702,nan,nan,nan,105,0.1,nan,nan
1,9,5332,-118.92066260846332,1.3977638938774666,1.402737851192554,1.1058458587775628,1.2331390100220838,nan,nan,nan,120,0.1,nan,nan
1,10,6932,-79.86086821591016,1.6381600602995605,1.6449934167414904,1.3235553635598627,1.4791675111278892,nan,nan,nan,1600,0.1,nan,nan
1,11,7052,-109.54373101750389,1.5611421066025892,1.5658622088531653,1.2624440697332224,1.4094271771609783,nan,nan,nan,120,0.1,nan,nan
1,12,7130,-103.75479133217596,1.7742164117785602,1.778305522333353,1.4806789559049485,1.650395365861746,nan,nan,nan,78,0.1,nan,nan
1,13,7236,-111.34834420843981,1.4188612862050813,1.4299123682222277,1.151511784502358,1.2912497492331378,nan,nan,nan,106,0.1,nan,nan
1,14,8836,-91.05607157794293,1.6705233499070165,1.6778713821619748,1.3448603774298682,1.5040708804363385,nan,nan,nan,1600,0.1,nan,nan
1,15,10229,-186.3155960404547,1.4186176955393421,1.4405778362780104,1.1172116229715787,1.2650731894410263,nan,nan,9.619339173372188,1393,0.1,nan,nan
1,16,10274,-118.75412261486053,0.49537456954518955,1.3014595177438524,0.418050650258859,1.2508556591139899,0.33740548957616856,0.1964186768501233,4.847393499087775,45,0.1,1.4405517578125,1.8374931848966158
1,17,10468,-141.41249503940344,0.22458981687848734,0.8534974905940675,0.1588728244502827,0.7840855831337958,0.13095905374735595,0.13063369289040566,4.866699938732199,194,0.1,1.4397209882736206,1.8320868426561356
1,18,10550,-112.06768400035799,0.4562235721386969,0.912628866913842,0.2403731600994744,0.7664314562954554,0.10618401981890202,0.12448545057326556,5.284220629202901,82,0.1,1.4275703430175781,1.8216266864538193
1,19,10731,-120.36108183674514,0.24919765809414526,0.724863729753547,0.20902491457636843,0.676516988000817,0.10265943876853803,0.12093849869036093,8.038650921905516,181,0.1,1.4224317073822021,1.8128801369085545
1,20,11054,-136.94805009663105,0.22402857457036257,0.7596861680410226,0.19013430902463363,0.7192759609812922,0.09941481293701544,0.11733770755732932,6.472025448780914,323,0.1,1.4098502397537231,1.8101252509326469
1,21,11096,-123.19400963187218,0.6505862382196245,1.1229538094429743,0.5577049814164639,1.0563780179335958,0.09675818328247514,0.1133634052650873,9.240748822642491,42,0.1,1.3896714448928833,1.791160883459934
1,22,11137,-123.25890727341175,0.6437667123064762,1.0445000289416895,0.5506872345761555,0.9758726318434972,0.09502241964950119,0.1100213831593824,7.3117405699566005,41,0.1,1.388409972190857,1.7914472879365433
1,23,11181,-121.69501483440399,0.6430767288600857,0.9209396940740672,0.5480412132191387,0.8565656143155965,0.09220932049806728,0.1095350238819455,8.087824534601532,44,0.1,1.3868911266326904,1.7893391614736514
1,24,11275,-105.99481468833983,0.522411460690993,0.9322192370891571,0.4048064946335681,0.8371700045276196,0.09081221895162449,0.10727074780436449,8.460552206720847,94,0.1,1.3848042488098145,1.7863970518112182
1,25,11460,-116.34894042089581,0.7218343651822038,0.8855250140299669,0.6092210714076016,0.7850385792352058,0.08888259445401755,0.10614330978556112,7.910749684412601,185,0.1,1.380238652229309,1.7818564539605921
1,26,11548,-105.83451564982533,1.1793054901063442,1.0532320687039332,0.9551653080958534,0.8800368071957068,0.08874051984060895,0.1053021144460548,9.247844901413192,88,0.1,1.370630145072937,1.7789759570902044
1,27,11654,-110.49833171721548,1.091005995518194,0.9907977229581689,0.8489839969167732,0.7971547302210106,0.0875213419397672,0.10371057718992233,6.616428247883451,106,0.1,1.366891860961914,1.77555386490292
1,28,11721,-112.72904024552554,0.2641546978100912,0.7120025887418149,0.22329610235877892,0.6724773885598824,0.08723222103383806,0.10382401353783077,9.910393982403912,67,0.1,1.3617095947265625,1.769786943329705
1,29,11810,-106.00156473647803,0.648406501315283,0.8410964392209321,0.5119782373141707,0.7279428474688798,0.08664704740047455,0.10276524096727371,11.976259667938574,89,0.1,1.3577698469161987,1.7659705273310344
1,30,11869,-110.92371583729982,0.507770056946803,0.7473046845298702,0.41497417103688594,0.6812925184682265,0.0860946156732414,0.1024020182373731,7.040708979284391,59,0.1,1.3530234098434448,1.759938857348069
1,31,11950,-102.47420507669449,0.6179648372862074,0.7838774687714047,0.5022668845399663,0.6853594779968262,0.08499654512042584,0.10046706526823666,11.139286230836296,81,0.1,1.349684238433838,1.7609299835951433
1,32,12078,-99.78939753235318,0.44278172689519124,0.714347813045606,0.3410690955352038,0.6297117139911279,0.0849099254478579,0.10008968231470688,10.98781272120929,128,0.1,1.3451814651489258,1.7557606266892474
1,33,12150,-102.16101604700089,0.7975936255986906,0.8202856986059083,0.6262008577792181,0.6799459345638752,0.08379681395723465,0.09911176150149488,8.460908102862803,72,0.1,1.3375989198684692,1.7468941617519298
1,34,12846,-151.4041329708416,0.23046608187183096,0.58272743349274,0.18436654479424844,0.5283389391227701,0.08363297109274154,0.09804697486948459,9.67412823752662,696,0.1,1.333701729774475,1.7482421063362283
1,35,14446,-102.0805531195947,0.253444783934661,0.5959891114197672,0.22766592105152086,0.548913807226345,0.08260190561413765,0.09505040210485459,8.660321702150394,1600,0.1,1.2900670766830444,1.7234711108207703
1,36,14608,-113.16950947302394,0.3793949015427059,0.7421770331300335,0.31572722567728273,0.6941750334736742,0.0797700647264719,0.08807996035154377,9.14453514876077,162,0.1,1.2079788446426392,1.669130966918809
1,37,16208,-69.66685007326305,0.25958387059725097,0.48108809335157277,0.18719554413110018,0.4026998971309513,0.07935965416724222,0.08657816779195217,6.532652719863108,1600,0.1,1.2022807598114014,1.6650587947745072
1,38,17808,-90.89089811069425,0.36032547513649477,0.7049486553575843,0.29455215411260727,0.6264233514573425,0.07733380399526112,0.07955098369764903,6.104952566024149,1600,0.1,1.1233488321304321,1.6177953636835491
1,39,19408,-83.47948186984286,0.27640007653312426,0.6788932564388961,0.23453663283376955,0.6074388362374157,0.0744376844254093,0.0767042876801629,5.271800289169769,1600,0.1,1.0787014961242676,1.5712916115055913
1,40,21008,-47.76738053106237,1.0687299830702977,0.8631853829557076,0.8747743333128164,0.676184217496775,0.07319373988111814,0.0723181310594082,4.624221923823643,1600,0.1,1.0398504734039307,1.5281309572855633
1,41,22608,-70.05918516323436,1.4490048448128436,0.8350432892236859,1.2884846485371235,0.6709104817500338,0.07272142542571557,0.07134691768484872,4.377017478780763,1600,0.1,1.012153148651123,1.4887001619106386
1,42,24208,-68.28441499045584,0.6386422528513672,0.5745242588128895,0.5267934817820787,0.4730685429926962,0.07150660240176049,0.07006931848485362,3.5553417014599837,1600,0.1,0.9880028963088989,1.456335936351256
1,43,24315,-106.6880448050797,0.5976592679203392,0.7658214921427664,0.5092995506232587,0.7043242103585573,0.0697809191777351,0.06618773361786882,4.015470413474832,107,0.1,0.9539689421653748,1.429132472961507
1,44,24467,-95.46488963719457,0.5835620836893979,0.7438975506903309,0.488053193585457,0.6728341018683032,0.06874080044316484,0.06606382919435805,3.5787133778786906,152,0.1,0.9528703093528748,1.425782470246579
1,45,24556,-103.4208596390672,0.7918226819359855,0.8221459345201428,0.6413051823802879,0.717638353785772,0.06730607398246465,0.06504567653725021,4.116323685232783,89,0.1,0.9511306285858154,1.4215614524640534
1,46,24674,-126.22670128382742,0.6027553897287886,0.7330274619793488,0.5214795060455799,0.6740867446287203,0.06657964877392117,0.06396332853718807,3.544670720783655,118,0.1,0.9502843022346497,1.4206092691421508
1,47,24917,-105.93454522220418,0.8229249491827724,0.73817577958107,0.713313437300761,0.6609707964668549,0.0657503148385634,0.0622490601769338,4.848151502856248,243,0.1,0.9489635229110718,1.4202173568308354
1,48,25012,-100.76626792829484,1.0649635445130499,0.7973301661641974,0.9503794442666205,0.7125061458662937,0.06424153443310679,0.06172445631518807,2.198121156786672,95,0.1,0.9461548924446106,1.410455779193603
1,49,25126,-102.10609309002757,0.8999646885745358,0.7384272888302803,0.7683380638951796,0.6478120386600494,0.06361498650662678,0.06163062561572213,4.236545911846174,114,0.1,0.9452674388885498,1.4148205850542206
1,50,25330,-114.15103588066995,0.8210597354188269,0.7202706557570719,0.7431652293650105,0.6629951475735973,0.06237641328907743,0.05999722963541138,4.103641927989665,204,0.1,0.9439178109169006,1.4116141620947391
1,51,25438,-102.48452562699094,0.9126866318423439,0.7030060320264764,0.8136560391048314,0.6348398878342576,0.06188138671675507,0.05947607175580093,4.129164562989026,108,0.1,0.9416552782058716,1.4053804667628542
1,52,25520,-120.1994984652847,0.9556097722635036,0.8076003739019719,0.7975116856850502,0.6784582299793639,0.060878421923126834,0.05931300430586844,3.7533473324263467,82,0.1,0.9403528571128845,1.401464072622434
1,53,25616,-99.51851112977602,0.9895585083868355,0.7661252746668955,0.8507789696644371,0.6553830729487041,0.06054029577609264,0.05906901316660823,5.156619200757187,96,0.1,0.939511239528656,1.3962277178812508
1,54,25697,-115.86136954650283,0.8632618890684328,0.7865357873616395,0.7814297036808214,0.7325995792577296,0.060380184024572375,0.05888238461315632,5.970555881271139,81,0.1,0.9384464621543884,1.4028809082508087
1,55,25836,-98.38694130489603,0.8568094489332154,0.7264189560421936,0.7393109656923966,0.6375560215372833,0.05962750005722046,0.05758416824787855,5.740621063761556,139,0.1,0.9377976655960083,1.3969496121406555
