episode,total_steps,eval_reward_avg,ep_steps,reward,env_return,nominal_error_avg,residual_error_avg,dhat_norm_avg,uncertainty_avg,res_net_loss,rbf_loss,td_loss_avg,buffer_uncert_avg,sampled_uncert_avg,fresh_uncert_avg,rollout_uncert_avg,rollout_pass_rate,rollout_avg_horizon
1,12,nan,12,6.965464919805527,6.961898688241209,1.275359869003296,1.275359869003296,1.147823691368103,1.275359869003296,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,27,nan,15,12.562802478671074,12.571252117875833,1.303943157196045,1.303943157196045,1.173548936843872,1.303943157196045,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,48,nan,21,11.213972259312868,11.217628128328098,1.5190938711166382,1.5190938711166382,1.3671842813491821,1.5190938711166382,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,57,nan,9,5.313499987125397,5.312710332167757,1.4815102815628052,1.4815102815628052,1.3333592414855957,1.4815102815628052,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,90,nan,33,26.77353084087372,26.783918217673886,1.448790192604065,1.448790192604065,1.3039112091064453,1.448790192604065,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,112,nan,22,20.14863795042038,20.160632012210886,1.5707241296768188,1.5707241296768188,1.4136515855789185,1.5707241296768188,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,126,nan,14,10.916638940572739,10.94213450054777,1.4495067596435547,1.4495067596435547,1.3045560121536255,1.4495067596435547,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,136,nan,10,6.098647981882095,6.0980184407897084,1.332930326461792,1.332930326461792,1.1996371746063232,1.332930326461792,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,182,nan,46,32.5467422157526,32.54399299103104,1.4700533151626587,1.4700533151626587,1.3230478763580322,1.4700533151626587,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,195,nan,13,6.270879775285721,6.262478340501368,1.5910829305648804,1.5910829305648804,1.4319748878479004,1.5910829305648804,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,210,nan,15,13.101867601275444,13.119568666520644,1.3782970905303955,1.3782970905303955,1.2404673099517822,1.3782970905303955,nan,nan,nan,nan,nan,nan,nan,nan,nan
12,231,nan,21,8.67574167996645,8.696585672613837,1.1529890298843384,1.1529890298843384,1.0376901626586914,1.1529890298843384,nan,nan,nan,nan,nan,nan,nan,nan,nan
13,244,nan,13,7.202224969863892,7.202216494835529,1.8325254917144775,1.8325254917144775,1.6492727994918823,1.8325254917144775,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,268,nan,24,18.755438920110464,18.769373612634666,1.284387230873108,1.284387230873108,1.155948519706726,1.284387230873108,nan,nan,nan,nan,nan,nan,nan,nan,nan
15,284,nan,16,10.270991891622543,10.270093417644057,1.4266388416290283,1.4266388416290283,1.2839748859405518,1.4266388416290283,nan,nan,nan,nan,nan,nan,nan,nan,nan
16,298,nan,14,5.285494655370712,5.295969582901371,1.3455246686935425,1.3455246686935425,1.2109724283218384,1.3455246686935425,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,315,nan,17,14.184147238731384,14.19743391194869,1.5325738191604614,1.5325738191604614,1.3793163299560547,1.5325738191604614,nan,nan,nan,nan,nan,nan,nan,nan,nan
