seed,episode,total_steps,reward,nominal_error_avg,residual_error_avg,dhat_norm_avg,uncertainty_avg,res_net_loss,rbf_loss,td_loss_avg,episode_length,epsilon,buffer_uncert_avg,sampled_uncert_avg,fresh_uncert_avg,rollout_uncert_avg,rollout_pass_rate,rollout_avg_horizon,rbf_calib_ratio,rbf_calib_corr
1,1,14,1.230790138244629,0.351676881313324,0.4032754898071289,0.3153148591518402,0.4032754898071289,nan,nan,nan,14,1.0,nan,nan,nan,nan,nan,nan,nan,nan
1,2,34,8.052954256534576,0.3528011739253998,0.42278584837913513,0.3140884041786194,0.42278584837913513,nan,nan,nan,20,1.0,nan,nan,nan,nan,nan,nan,nan,nan
1,3,55,7.976555168628693,0.34987714886665344,0.40399500727653503,0.3127458989620209,0.40399500727653503,nan,nan,nan,21,1.0,nan,nan,nan,nan,nan,nan,nan,nan
1,4,65,-1.7362233996391296,0.364754855632782,0.3662368357181549,0.3319472670555115,0.3662368357181549,nan,nan,nan,10,1.0,nan,nan,nan,nan,nan,nan,nan,nan
1,5,89,11.964689075946808,0.3532562255859375,0.4194319248199463,0.3148784339427948,0.4194319248199463,nan,nan,nan,24,1.0,nan,nan,nan,nan,nan,nan,nan,nan
1,6,105,3.3225876688957214,0.35008475184440613,0.3973589539527893,0.31427252292633057,0.3973589539527893,nan,nan,nan,16,1.0,nan,nan,nan,nan,nan,nan,nan,nan
1,7,125,6.990710198879242,0.3487280309200287,0.3874166011810303,0.31399664282798767,0.3874166011810303,nan,nan,nan,20,1.0,nan,nan,nan,nan,nan,nan,nan,nan
1,8,144,6.0535396337509155,0.34997639060020447,0.392912358045578,0.3146384358406067,0.392912358045578,nan,nan,nan,19,1.0,nan,nan,nan,nan,nan,nan,nan,nan
1,9,218,60.59635245800018,0.34960299730300903,0.3949868381023407,0.3137417137622833,0.3949868381023407,nan,nan,nan,74,0.9137248860125932,nan,nan,nan,nan,nan,nan,nan,nan
1,10,230,-0.5192156434059143,0.3572055995464325,0.3935377895832062,0.32123684883117676,0.3935377895832062,nan,nan,nan,12,0.8603841919146962,nan,nan,nan,nan,nan,nan,nan,nan
1,11,246,3.9423266649246216,0.34492385387420654,0.39229846000671387,0.30952024459838867,0.39229846000671387,nan,nan,nan,16,0.7940753492934954,nan,nan,nan,nan,nan,nan,nan,nan
1,12,264,5.284476578235626,0.3508448004722595,0.39942076802253723,0.31481897830963135,0.39942076802253723,nan,nan,5.259625446796417,18,0.7255664080186093,nan,nan,nan,nan,nan,nan,nan,nan
1,13,274,-1.7152723670005798,0.3509998917579651,0.38083094358444214,0.31525057554244995,0.38083094358444214,0.07333332002162933,13.588688278198243,4.396927332878112,10,0.6900935609921609,0.39887669682502747,0.42769052982330324,0.3717954754829407,2.127656936645508,0.1210137236283876,1.016796875,5.391704082489014,-0.03897456698126086
1,14,310,23.75635701417923,0.35632264614105225,0.32944169640541077,0.3240543603897095,0.32944169640541077,0.053670228272676465,5.507738399505615,4.393299106756846,36,0.5761543988830038,0.3982180655002594,0.42605491876602175,0.3291800022125244,3.2701098918914795,0.0010675972066117613,1.0013671875,7.857914924621582,0.2745629105500512
1,15,323,1.2367061376571655,0.3482685387134552,0.24864114820957184,0.32344305515289307,0.24864114820957184,0.03844870328903198,3.910110068321228,3.7683399319648743,13,0.5398075216808175,0.3902311325073242,0.4154322028160095,0.2887801229953766,1.8390998840332031,0.014384852037793145,1.0203125,4.2061238288879395,0.48879763013801725
1,16,337,1.7356683015823364,0.3494275212287903,0.23638856410980225,0.3259121775627136,0.23638856410980225,0.030166692286729812,2.666067957878113,3.312863087654114,14,0.5032248303978422,0.38453248143196106,0.4148008465766907,0.25426000356674194,1.7092982530593872,0.009787570664769086,1.01875,4.986158847808838,-0.03540010030655099
1,17,349,-0.12781202793121338,0.3641248643398285,0.33125928044319153,0.33130785822868347,0.33125922083854675,0.0249619510024786,1.4727187395095824,3.301182007789612,12,0.4738479773082268,0.37837809324264526,0.4131477952003479,0.22423291206359863,0.8880813717842102,0.3085438645243774,1.0248046875,2.9168076515197754,0.37214362726976014
1,18,363,2.3293458819389343,0.3555908799171448,0.2828699052333832,0.32750052213668823,0.2828699052333832,0.020463263615965843,1.1481588721275329,3.061249113082886,14,0.4417353564707963,0.376757949590683,0.40882349014282227,0.19825902581214905,1.0274369716644287,0.35498792687185676,1.058203125,2.377154588699341,0.02575079499696835
1,19,375,-0.01853930950164795,0.34524497389793396,0.1826532483100891,0.3270343840122223,0.1826532483100891,0.015042004734277725,0.7379247903823852,2.405164968967438,12,0.4159480862733536,0.3731369972229004,0.4076725602149963,0.17402081191539764,0.6459711790084839,0.48472802079983396,1.54375,2.2157061100006104,0.2776150389336004
1,20,394,6.078698098659515,0.3401484191417694,0.13588914275169373,0.3266488015651703,0.13588914275169373,0.010365265607833862,0.40143161416053774,2.153132236003876,19,0.37816180712868996,0.3670414984226227,0.40592265129089355,0.1490412801504135,0.6881108283996582,0.12666434464243148,1.0974609375,1.8808423280715942,-0.2745451036316367
1,21,405,-1.196625828742981,0.36789897084236145,0.15639463067054749,0.35243597626686096,0.15639463067054749,0.0072404761798679825,0.32824617624282837,2.2693026065826416,11,0.3578751580867638,0.355894535779953,0.39988834857940675,0.12444031238555908,0.6581180095672607,0.07176051908871627,1.0412109375,1.452385663986206,-0.026876473394488044
1,22,441,18.648561000823975,0.34075695276260376,0.08801842480897903,0.332433819770813,0.08801842480897903,0.00505890641361475,0.26344757378101347,1.9753199964761734,36,0.2987875242397482,0.3504759967327118,0.3978338897228241,0.1037614643573761,0.625548779964447,0.11393518346884762,1.0431640625,1.4586191177368164,-0.1143548550904505
1,23,468,10.61616587638855,0.34039121866226196,0.0722193643450737,0.33410966396331787,0.0722193643450737,0.00357699953019619,0.2871491491794586,1.5768798485398292,27,0.2609670281126685,0.3290508985519409,0.3900819897651672,0.08356428891420364,0.3437749147415161,0.3683196277458369,1.6298828125,1.1462783813476562,-0.07746966304024824
1,24,484,4.107977390289307,0.3598068952560425,0.073981374502182,0.35314539074897766,0.073981374502182,0.0026919048279523848,0.22201765775680543,1.2201956003904342,16,0.2408545925762412,0.3142336905002594,0.38482421040534975,0.06902377307415009,0.421184241771698,0.050352259239939266,1.0701171875,1.2302796840667725,-0.10970274023692457
1,25,496,0.07046312093734741,0.3569639027118683,0.07022447139024734,0.3521994352340698,0.07022447139024734,0.001915188506245613,0.16104288548231124,1.1722264647483827,12,0.22679417751985861,0.30629146099090576,0.3814509391784668,0.06022275984287262,0.3174346685409546,0.24562592231302727,1.25,0.8938754796981812,-0.11054022531243755
1,26,507,-1.2126156687736511,0.36258813738822937,0.07192688435316086,0.35788193345069885,0.07192688435316086,0.001786831603385508,0.10138473063707351,1.2221380054950715,11,0.21462770857094118,0.3005801737308502,0.37829533219337463,0.05525914952158928,0.2731376588344574,0.48870097787546213,1.5083984375,0.9339694976806641,-0.03111972477152948
1,27,522,2.512932598590851,0.3573214113712311,0.06136184185743332,0.3541119694709778,0.06136184185743332,0.001698676380328834,0.11906259953975677,0.9108209013938904,15,0.19908200231898848,0.29561927914619446,0.38308838605880735,0.053162213414907455,0.16071130335330963,0.7140212642935393,3.2544921875,0.6546274423599243,-0.06529371261368416
1,28,742,193.5069386959076,0.34556496143341064,0.05487421900033951,0.3412669897079468,0.05487421900033951,0.0015560110798105598,0.1345312274992466,0.35202388023449616,220,0.0660860453679829,0.28888773918151855,0.37895013093948365,0.052925530821084976,0.09815522283315659,0.9012640872747513,6.03203125,0.6130271553993225,-0.05902746946078571
1,29,1118,352.5224709510803,0.35108837485313416,0.037807397544384,0.34764862060546875,0.037807397544384,0.0016379853012040257,1.5755366921424865,0.3263591623185454,376,0.010036634861955105,0.21950368583202362,0.35543169975280764,0.05337950214743614,0.5260313749313354,0.4058344125300367,1.43828125,2.4506735801696777,-0.3249062353480844
1,30,1310,167.5757948756218,0.3502988815307617,0.04994146525859833,0.34539803862571716,0.04994146525859833,0.0015838423452805728,0.30135358721017835,0.38945195561176854,192,0.01,0.15839651226997375,0.3288483187556267,0.0459301695227623,0.15596434473991394,0.8981418121656328,4.5841796875,1.94968581199646,-0.1046644674976307
1,31,1483,150.75441998243332,0.35001105070114136,0.05031045526266098,0.3452604115009308,0.05031045526266098,0.0014891645731404423,0.21905503451824188,0.3763998706770294,173,0.01,0.14250080287456512,0.3194661402702332,0.04392857849597931,0.1292630285024643,0.9018438098397491,5.36015625,1.6619735956192017,-0.02365183714525406
1,32,1626,120.20617187023163,0.34919631481170654,0.05473849177360535,0.34415560960769653,0.05473849177360535,0.0014682074869051575,0.15562078952789307,0.4261522898716586,143,0.01,0.1317463219165802,0.3098497152328491,0.04220940172672272,0.20148374140262604,0.6580172797177998,2.552734375,1.525986671447754,0.018765914041923366
1,33,1815,156.09890067577362,0.3444761335849762,0.05087016522884369,0.34058594703674316,0.05087016522884369,0.0014159546427739164,0.140171234558026,0.42701403229600854,189,0.01,0.12497378140687943,0.3013079305489858,0.04079227149486542,0.14544211328029633,0.8936406586236968,5.793359375,1.430312991142273,0.030322840409817448
1,34,1991,149.18066138029099,0.34464457631111145,0.044165048748254776,0.3414064645767212,0.044165048748254776,0.001308715802484325,0.19228326955011912,0.3686954067855635,176,0.01,0.11725720018148422,0.2872545395578657,0.03927307203412056,0.13449041545391083,0.904163099093923,5.8904296875,1.732453465461731,-0.010754120891188415
1,35,2207,185.77956074476242,0.34510132670402527,0.041603852063417435,0.3421728014945984,0.041603852063417435,0.0012076609402096698,0.10520902169602257,0.4708044464566878,216,0.01,0.1107960194349289,0.278987694638116,0.03779049217700958,0.13003280758857727,0.904708195165625,5.1666015625,1.5067284107208252,0.008570651047414625
1,36,2707,465.1202983260155,0.3412666618824005,0.025949181988835335,0.34036073088645935,0.025949180126190186,0.001128788964706473,0.09312396850436926,0.42932367374561725,500,0.01,0.10402414947748184,0.2710316389799118,0.03610232099890709,0.11513013392686844,0.8686402017677836,4.48125,1.3156359195709229,0.004259239284823612
1,37,3119,378.13154208660126,0.347930908203125,0.02759740874171257,0.34597447514533997,0.02759740874171257,0.0009793459926731884,0.10487952325493097,0.3751006700143945,412,0.01,0.08960321545600891,0.25714887291193006,0.03262248635292053,0.08920790255069733,0.8699235602419378,5.1431640625,1.419243335723877,-0.01035240289446032
1,38,3440,293.49506360292435,0.3496757745742798,0.025848083198070526,0.3477044701576233,0.025848083198070526,0.0008539692595756302,0.030218132600809137,0.4208399474387988,321,0.01,0.0814126506447792,0.24972300132115682,0.030053777620196342,0.04832436889410019,0.9327536909942864,6.91015625,0.9248136281967163,0.049237893659917945
1,39,3635,172.0223741531372,0.35026487708091736,0.02980831079185009,0.3480744957923889,0.02980831079185009,0.0007631724368995772,0.0194079660022488,0.3673666792725654,195,0.01,0.07622769474983215,0.24199624290833108,0.0280977301299572,0.03905825689435005,0.9710517800996945,8.24453125,0.8091942667961121,0.05694533156460822
1,40,3924,263.56006491184235,0.3488326966762543,0.02304110676050186,0.3473832607269287,0.02304110676050186,0.0006839127313079578,0.015693983335846238,0.3956037299574486,289,0.01,0.07373752444982529,0.23702463103192192,0.026639986783266068,0.033024366945028305,0.9622336213652166,7.9166015625,0.7550559043884277,0.05832315468724241
1,41,4232,279.6849918961525,0.3462090790271759,0.022962123155593872,0.3460322320461273,0.022962123155593872,0.000629335615473489,0.012114865347587813,0.49958586402858296,308,0.01,0.07000376284122467,0.23113519608974456,0.025258611887693405,0.03555271029472351,0.9771341982879862,8.6525390625,0.7530546188354492,0.07011855288368654
1,42,4426,163.10562026500702,0.34062060713768005,0.028400883078575134,0.3394198715686798,0.028400883078575134,0.0005535884149139747,0.04968832409649622,0.693582688213179,194,0.01,0.06658013164997101,0.22510703802108764,0.023971272632479668,0.04294014722108841,0.9548397199939772,8.1173828125,0.7841723561286926,0.0487807187057205
