seed,episode,total_steps,reward,nominal_error_avg,residual_error_avg,dhat_norm_avg,uncertainty_avg,res_net_loss,rbf_loss,td_loss_avg,episode_length,expl_noise,buffer_uncert_avg,sampled_uncert_avg,rollout_uncert_avg,rollout_pass_rate,rollout_avg_horizon,rbf_calib_ratio,rbf_calib_corr
1,1,55,-102.87620339356363,2.0127192844044077,2.0207064254717393,1.7020465617830103,1.9005609701980244,nan,nan,nan,55,0.1,nan,nan,nan,nan,nan,nan,nan
1,2,1655,-80.418094474182,1.6042029626434668,1.6093976041208953,1.267739859317662,1.4151394351758062,nan,nan,nan,1600,0.1,nan,nan,nan,nan,nan,nan,nan
1,3,1773,-116.10278628207743,1.447692386300887,1.4572296683060921,1.1578959426132298,1.2984034556074668,nan,nan,nan,118,0.1,nan,nan,nan,nan,nan,nan,nan
1,4,1843,-105.23053999757394,1.705073763855866,1.7012850950871194,1.4283477229997517,1.5820809847542219,nan,nan,nan,70,0.1,nan,nan,nan,nan,nan,nan,nan
1,5,1898,-105.73152634128928,1.415071563558145,1.4269122990694914,1.1675521352074363,1.3127581349828026,nan,nan,nan,55,0.1,nan,nan,nan,nan,nan,nan,nan
1,6,1985,-101.99208246730268,1.6078744209960274,1.6130311379487487,1.3305566053109608,1.4837656808995652,nan,nan,nan,87,0.1,nan,nan,nan,nan,nan,nan,nan
1,7,2106,-126.34610906569287,1.5115691912322005,1.524677082034182,1.246539727345971,1.3998920516041684,nan,nan,nan,121,0.1,nan,nan,nan,nan,nan,nan,nan
1,8,2183,-118.8594663105905,1.6505814347561303,1.6610659544731115,1.3597228817835256,1.525961967838275,nan,nan,nan,77,0.1,nan,nan,nan,nan,nan,nan,nan
1,9,2239,-113.99255450442433,1.5489174611866474,1.5514109890375818,1.3054090336497342,1.4529039511190993,nan,nan,nan,56,0.1,nan,nan,nan,nan,nan,nan,nan
1,10,3839,-90.39594204351306,1.670664440880064,1.6783488412294536,1.3458711474691518,1.5059788927342743,nan,nan,nan,1600,0.1,nan,nan,nan,nan,nan,nan,nan
1,11,5439,-86.0432960842154,1.6527019250020385,1.6605535371880977,1.3309611759590916,1.4891813182970508,nan,nan,nan,1600,0.1,nan,nan,nan,nan,nan,nan,nan
